Document Title,Abstract,Chosen,Authors,Publication Year,DOI,Link,Content type
"""On rational choice, risk and utility in mobile banking""","""The diffusion of mobile banking technology in South African (SA) banking institutions offers a unique and incisive approach towards analysis of risk associated with the protection of banking clientele's information. There is emerging discourse towards South African clientele awareness surrounding privacy issues. The paper conceptualizes the underlying banking clientele's awareness of issues such as risk, security and information protection policies. The key concern is the impact such awareness has on the choice of subscribing to mobile banking services. Rational Choice Theory (RCT) has been used as a theoretical lens to abstract banking clientele reasoning. The paper attempts to explain, using RCT, the risk/utility trade-off and the clienteles' willingness to subscribe to mobile banking services. Quantitative research method has been used for this purpose. Purposeful sampling that targeted SA bank-account holders was applied. Empirical results show that the South African banked clienteles' awareness is largely driven by the perceived utility of a mobile technology (mobile banking service) and interestingly, risk and information protection play a lesser role in this trade-off.""",,"""K. Njenga; S. Ndlovu""",2012,10.1109/e-Leadership.2012.6524698,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6524698,IEEE Conferences
"""Leveraging competitiveness and economic growth through linking innovation systems to wealth creation in emerging countries""","""Most industrialized countries have been able to insert innovation into their national agendas, leveraging competitiveness, economic growth and social development. Well structured national innovation systems run across all the innovation value chain: from the transfer of ideas or inventions, to their commercialization as high value and differentiated products or services, producing high economic and social impacts In developing countries, the circumstances are quite different. There are weak liaisons, low trust and poor association between economic generators (companies) and their supporting institutions (government, federations, banks and academies). Regions are not electronically prepared (e-readiness) to support the infrastructure required for the effective formation of clusters (e-readiness). Innovation is not perceived as an asset, and high value entrepreneurship is not a common finding in the entrepreneurial profiles of most professionals. There are no world class industrial enabling conditions, nor high value core capabilities, and the digital economies are creating large digital development divides instead of business opportunities. In general, the economic gap between rich countries and poor ones widens every day. To help alleviate this situation, we have developed the WIT Model (Wealth creation through Innovation and enabling Technologies). This model has been designed to create the necessary and sufficient enabling conditions and core capabilities to empower developing regions to transform their scarce resources and hostile conditions, into attractive regions with competitive industries and innovative companies, capable of producing great added and differential values, strongly interrelated with their regional social capital, so that they can compete globally as extended networks of value, and share their economic value among their local communities. Several cases of application of the model are shown, specially the current project of the Institute for Innovation and Technology Transfer (IITT) planned to position the city of Monterrey, Mexico, as an international Pole of Innovation and Competitiveness.""",,"""C. Scheel; J. Parada""",2008,10.1109/PICMET.2008.4599666,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599666,IEEE Conferences
"""Raspberry Pi Assisted Safety System for Elderly People: An Application of Smart Home""","""Nowadays, the care of elderly peoples is a significant problem and needs more time and attention from the caregivers. In the elderly population, accidental fall is a common cause of injury due to the weakness or any other disease such as high temperature and blood pressure. Moreover, in developing countries, the use of natural gas for older adults is widespread for room heating. The use of a gas heater in a room can be hazardous, especially at night and it has reportedly said to turn OFF the gas heater while going to sleep. However, it is ignored quite often that results in many deaths not only to the elderly but to all age groups. To cope with these issues and to provide a safer environment, especially to the older people where the caretaker can be informed well on-time, a raspberry Pi assisted cost-effective safety system is proposed. The 3-axis accelerometer of gas and flame sensors are used to detect an event when accidental fall occurs precisely, or any gas leakage or flame is detected. The caretaker will be informed using a mobile app or text alert to take action immediately. Results demonstrate that the modules for fall and gas/open flame detection accurately detected true events by 92% and 95% respectively. The primary purpose of the proposed system is to provide a reliable, cost-effective, and efficient method for the safety of the elderly population.""",,"""H. Jan; H. Yar; J. Iqbal; H. Farman; Z. Khan; A. Koubaa""",2020,10.1109/SMART-TECH49988.2020.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9283762,IEEE Conferences
"""Optimum Cluster of Distributed Generation Systems for Energy Management within a Virtual Utility""","""Many remote communities in developing countries suffer from lack or weak grid connection. A reliable electric energy system is essential for the residential and small industrial applications. In modern smart grids, the concept of virtual utility is used to describe a cluster of hybrid Distributed Generation (DG) and storage systems. The optimum cluster of DG and storage systems within a virtual utility is essential for a reliable energy management system, to effectively supply the load demands. This requires the minimization of the Net Present Cost (NPC) of the cluster's investment. Among various economic evaluation software tools, very effective software according to recent research and projects is the Hybrid Optimization Model for Electric Renewables (HOMER). In this paper, a remote load is used as a case study for economic evaluation of a cluster of DG resources. The available resources for the case study include PV arrays, small wind turbines, and a Hydrogen Fuel cell system along with storage battery banks. Optimization and sensitivity analysis results are thoroughly presented and discussed.""",,"""K. M. Abo-Al-Ez""",2018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8636604,IEEE Conferences
"""Towards AI Based Diagnosis of Rheumatic Heart Disease: Data Annotation and View Classification""","""Rheumatic Heart Disease is a cardiovascular disease highly prevalent in developing countries partially because of inadequate healthcare infrastructure to treat Group A streptococcus pharyngitis and thereafter diagnose and document every case of Acute Rheumatic Fever, the immune-mediated antecedent of rheumatic heart disease. Secondary antibiotic treatment with penicillin injections after a diagnosis of Acute Rheumatic Fever and Rheumatic Heart Disease is used to prevent further attacks of Strep A, preferably prior to any heart valve damage. Echocardiographic screening for early detection of Rheumatic Heart Disease has been proposed as a method to improve outcomes but it is time-consuming, costly and few people are skilled enough to reach a correct diagnosis. Machine Learning is an emerging tool in analysing medical images; our aim is to automate the screening process of diagnosing rheumatic heart disease. In this paper, we present a web application to be used to label echocardiography data. These labelled data can then be used to develop machine learning models that can classify echocardiographic views of the heart and damaged valves from the echocardiograms.""",,"""L. Mugambi; L. ZÜHLKE; C. W. Maina""",2022,10.23919/IST-Africa56635.2022.9845657,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845657,IEEE Conferences
"""Statistical Insights and Fraud Techniques for Telecommunications Sector in Egypt""","""National Telecommunications Regulatory Authority (NTRA) has investigated the telecommunication performance in the service providers in Egypt between the periods of February 2018 till February 2019. Fraud is a multi-billions pounds' problem around the world. The problem is the huge financial loss of revenue that can affect the trustworthiness and performance of the telecommunication corporate. Egypt is one of the developing countries that are witnessing a rapid-growth development in its telecommunications infrastructure. As a result of the increment rate of corporate and internet users, fraudsters are exploiting the vulnerabilities to gain illegal revenue through the subscribers. The telecommunications sector in Egypt has suffered in the last two decades from different types of telecom fraud cases which have damaged the financial sector in both telecommunication side and governmental side. In this paper, we present: a) Statistical insights on users, mobile operators and Internet companies for the telecommunications sector in Egypt in 2018/2019. b) An illustration for the common fraudulent methodologies that are used against both users and telecom operators in Egypt. c) A discussion on the consequences of fraud cases with a suggested framework as a proactive methodology to prevent the escalated threat of telecom fraud.""",,"""A. A. Mawgoud; I. Ali""",2020,10.1109/ITCE48509.2020.9047767,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9047767,IEEE Conferences
"""VLSI—The technological giant—And the developing countries""","""At a time when developing nations, after centuries of drift, are in search of an appropriate technology, they are confronted with a technological giant-Very Large Scale Integrated (VLSI) Circuit Technology-which seems to be gripping various aspects of the industrial sector and areas of human activity in the developed nations. In VLSI, the latest happens to be the most appropriate technology. The developing nations are yet to decide how appropriate and sustainable the VLSI technological edifice is in the context of their urge for modernization and the problems of an unemployment explosion, weak technological and scientific infrastructure, rural and agricultural bias, etc. The author believes that the developing countries will be involved in repeated technology transfer from developed nations in the area of VLSI through systems related to industry, defense, communication, instrumentation, etc. The various options of VLSI technology acquisition have been analyzed with their attendent problems. Downstream applications of VLSI to problems characteristic of developing nations, education and training in hardware and software, silicon foundry to serve as a technological listening post, and customdesign capability are some of the possible short-and long-term options for the developing nations to make optimum use of VLSI.""",,"""A. B. Bhattacharyya""",1983,10.1109/PROC.1983.12535,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1456803,IEEE Journals
"""A Secure Context-aware Content Sharing Kiosk for Mobile Devices in Low-Resourced Environments""","""Despite the explosion of mobile subscribers in Sub-Saharan Africa, there is still a challenge of delivering the appropriate content to the users taking into account of various Internet connectivity constraints and emerging security requirements. Although technologies for information sharing are steadily growing, the communication infrastructure that provides the backbone of third or fourth generation connectivity requires a lot of capital and is often limited by geographical coverage. Motivated by these challenges and constraints, this paper presents a design of the Secure Context-aware Content Sharing Kiosk, an enhancement to the previous Content Sharing Kiosk approaches with support for secure online and offline content distribution and sharing. A hybrid of a role and lease-based security and privacy model was embedded in the design to control distribution of information across different recipients. The lease-based security and privacy model combines the strengths of the role-based security and privacy models by allowing mobile content users to have control over the content sharing through pre-defined conditions of content leasing. Such conditions include time and location thereby enabling users able to lease out information to other users on the network. Upon expiry or violation, the leased information expires. In order to renew access to such information, users are able to request for the renewal of the lease from the content owner. The designed Kiosk was validated using a case study for content sharing in a hospital setting. The research results of this paper, contributes new knowledge in the line of design and development, and can be re-used in other settings with minimal customization, including remote regions with intermittent Internet coverage.""",,"""A. K. Ssebwana; E. Bainomugisha""",2020,10.23919/SAIEE.2020.9142603,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9142603,SAIEE Journals
"""Why electronic and not electromechanical ELCBs ?""","""South Africa's 40 years of experience in the manufacture and application of sensitive earth leakage protection devices, together with the global experiences covering millions of installed units over several decades have resulted in a better understanding of not only the advantages, but also of the limitations of ELCBs. In Europe, where electromechanical ELCBs are used almost exclusively, the question of reliability of installed ELCBs has become a subject of major concern and attention. The popular hype regarding perceived reliability of electronic components was not sufficient to prevent the major South African manufacturer, some five years ago from changing their entire ELCB range from electromechanical to electronic technology ELCBs. The improvements in reliability that resulted from this decision are complemented by their freedom from safety performance limitations often found in lower specification electromechanical earth leakage circuit breakers.""",,"""V. Cohen""",1996,10.1109/AFRCON.1996.562977,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=562977,IEEE Conferences
"""Study of SMS air interface delay in strong and weak signal environments""","""SMS has the potential to support time-sensitive applications that provide access to information and services in developing countries. In this paper we present a series of tests of SMS air interface delay in strong and weak signal environments. We initially establish time delay baselines for three different sizes of SMS messages. Comparing different size messages in strong and weak signal environments tells us that the time delay in a weak signal environment increases in comparison to the strong signal on average by 0.5 seconds and the standard deviation doubles. Introducing fast fading by making the sending device mobile, the average air interface delay increases slightly but the standard deviation triples compared to the stationary case. The distribution function of the time delay has thicker tails than a normal distribution and we develop a novel distribution model that provides a good fit to the empirical data and provides useful insights about system performance.""",,"""S. Brown; M. Saint; T. X. Brown""",2013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6701728,IEEE Conferences
"""Megawatt scale energy recovery in the Rankine cycle""","""It has, in recent times, become the focus of national and international political pressure to reduce the impact of climate change [1]. The amount of CO2 that is released to the atmosphere now has legislative and tax implications with CO2 emitters around the world in both developed and developing countries having to implement CO2 reducing technologies to reduce costs and maintain profitability [2]. We aim to exploit the Peltier effect exhibited in semiconductor devices to create an enthalpy capture device using the significant amount of energy rejected by such a power plant. A thermoelectric device applied in its heat pumping mode, enables the redirection of energy released in the condensation process. We aim to prove that using the thermoelectric device in a particular configuration enables the preheating of water returning to the boiler (feed water). Such an application of a heat pumping device will increase the net efficiency of the Rankine cycle.""",,"""J. Siviter; A. Knox; J. Buckle; A. Montecucco; E. McCulloch""",2012,10.1109/ECCE.2012.6342655,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6342655,IEEE Conferences
"""Promoting e-participation in County Governments: A case of a county government in a developing country""","""Public participation is considered an important pillar in governance in Kenya as demonstrated by the way it has been severally enshrined in the constitution of Kenya 2010 as well as the County Governments Acts. Despite such policy and regulatory frameworks for public participation being in place, county governments in Kenya are still characterized by poor public participation in governance and government processes. Additionally, despite several studies demonstrating that information technology (IT) is a critical enabler of public participation, not much is known on how county governments in Kenya are harnessing the power of technology for public participation. This research attempts to understand how IT is being used for public participation, and the current challenges associated with its application in the promotion of public participation in county governments in Kenya. This paper, presents the initial findings from one of the counties. The study used interviews with both junior and senior county officials. Additionally, county documents as well as information from county websites and social media platforms were used. The study findings have revealed that the use of IT was gaining prominence in county engagements with the public, more specifically, the use of social media. However, it would appear that civic participation through these platforms was minimal. Additionally, the county strategic documents reveal that e-participation is yet to be appreciated as a strategic factor in increasing and enriching public participation in county governance. Several challenges were also identified and these are presented in this paper. It was thus hoped that these findings would enable an increasing understanding of the prevailing local circumstances which inhibit e-participation within county governments. The findings have practical implications on how county governments in Kenya (and possibly other developing countries) may better position themselves to exploit technology for improved public participation.""",,"""J. R. A. Ndiege""",2020,10.1109/ICEDEG48599.2020.9096756,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9096756,IEEE Conferences
"""A Retrofit Design Science Methodology for Smart Metering Design in Developing Countries""","""Traditional meters present both the users and utilities providers with various challenges in developing countries. For instance utility providers must get access to their users' premises to be able to read these meters or check fraudulent connections. Users on the other hand have to wait for months or more before knowing their utility consumptions or join long queues to purchase credit for the post-payment and pre-payment meters respectively. This paper seeks to propose a design that retrofits traditional meters on site into smart meters by adding embedded units for communication and control. The study was conducted using a modified Design Science Methodology referred to as Retrofit Design Science Research Methodology (RDSRM). RDSRM argues that, the artifact in context (Smart Meter) has undergone evaluation and acceptance as critical for solving a defined problem and that there are enough literature to support its relevance. The traditional meters were studied and the proposed system was designed using General Packet Radio Service (GPRS) technology for communication, and Peripheral Interface Controller (PIC). Network based applications were developed to present both the consumers and the utilities with the ability to interact with the meters remotely. An attempt was made to address identified security issues of smart metering by using Message Digest 5 (MD5) Algorithm in the design. The system was evaluated based on smart metering requirements. The GPRS Retrofitted Smart Metering System (GRSMS) will reduce the cost of deploying smart meters.""",,"""J. Q. Azasoo; K. O. Boateng""",2015,10.1109/ICCSA.2015.23,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7166156,IEEE Conferences
"""Application of Artificial Bee Colony Method for Unit Commitment""","""In this paper, first time ever artificial colony bee search is applied for thermal unit commitment. The main aim of doing thermal unit commitment scheduling is to optimize running while ensuring security and reliability. In recent era, lot of attention is given to the environmental conditions. All developed and few developing countries are worrying about emission of carbon dioxide from thermal generating stations. In first section of this paper unit commitment and Artificial Bee Colony (ABC) is discussed. In next section methodology for adopting ABC and general constraints of unit commitment are discussed in great detail. In last section application of ABC for unit commitment is implementation of proposed algorithm is shown and obtained results are presented. It is observed that ABC produces good results for unit commitment problem and easy to implement.""",,"""M. B. Kokare; S. V. Tade""",2018,10.1109/ICCUBEA.2018.8697562,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8697562,IEEE Conferences
"""Integration of smart wearable mobile devices and cloud computing in South African healthcare""","""The acceptance of cloud computing is increasing in a fast pace in distributed computing environment. The use of cloud environments for storage and data processing needs is on the rise. On the other hand, mobile devices have been seen as one of the most essential and affordable tool for data access. In South Africa, health care processes are mostly manually prepared. Collecting and analysing patient's information using the existing processes requires more effort. Generally these processes are prone to error and time consuming, and provide delay in information storage and accessibility. These conditions restrict monitoring and diagnostics capabilities thereof. The main aim of this study is to design a framework architecture that integrate smart wearable mobile devices and cloud computing in healthcare. The objective of this study are; investigating the existing devices; current status of healthcare research and cloud computing in South Africa; investigate the existing methods, models, architecture and frameworks that are used/proposed in health informatics to improve ubiquitous health care. We then will design the architecture that integrates smart wearable mobile device and cloud computing in public health care capable of aiding health-care professionals better manage patient bases by reducing or eliminating on-site consultations. This integration will be made possible by designing an integrated architecture that will enable patient's information to be stored in a centralised portal for remote access. For security and easy access of data, cloud computing is widely used in distributed mobile computing environment. It is important to also highlight on cloud computing related security issues that guide access of personal information.""",,"""P. Mvelase; Z. Dlamini; A. Dludla; H. Sithole""",2015,10.1109/eCHALLENGES.2015.7441084,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7441084,IEEE Conferences
"""6 Mapping the Iranian Policy Network for Protecting Users’ Data on Platforms""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933581.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""4 OpenRAN and Security in an Developing Country Context""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933544.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""3 Critical Infrastructure Security: Issues, Challenges and 5G Solutions from an Indian Perspective""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933527.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""8 Study of Cybersecurity in 5G using a Machine Learning Algorithm for Protecting Financial Transactions – A Case of the Developing World""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933529.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""Introduction Wireless Networks and Privacy in Developing Countries""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933604.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""1 Expansion–Security Tradeoffs in the Pathway to Rural 5G Networks""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933543.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""5 Deployment of 5G in Emerging Economies: Cybersecurity Challenges and Potentials for Ghana""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933514.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""7 Empirical Investigation of the Drivers of 5G and the Mediating Role of Users’ Attitudes to Achieving Word of Mouth and Willingness: A Case Study of the Microfinance Institutions of Zambia""","""5G, the emerging technology in mobile communication, is expected to deliver an important and decisive impact on several of the UN’s Sustainable Development Goals where universal accessibility to ICTs remains a serious concern. However, cyber security has emerged as a serious challenge, not least because of the increased accessibility and broader usage with associated vulnerability. Developing countries have additional challenges associated with both the expected faster build-up of accessibility and lack of qualified competencies within cyber security. Discussion of these challenges is the overall theme and motivation for this book. Technical topics discussed in the book include: • 5G in rural networks • Critical infrastructures • Open RAN • Protection of privacy • Cybersecurity and machine learning • Cybersecurity and disaster monitoring""",,"""""",2022,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9933518.pdf&bkn=9933496&pdfType=chapter,River eBook Chapters
"""Online safety in South Africa - A cause for growing concern""","""We live in a technology-driven world, where information communication technology (ICT) is increasingly affordable, obtainable and accessible to all technology users, especially to school learners. Information communication technologies (ICTs) include a wide range of devices such as mobile phones, internet access, tablets and desktops. More and more school learners are exposed to ICT devices at school, at home and among friends. Besides being used for social purposes, these devices greatly assist school learners with education. However, a number of disadvantages in the form of risks and threats also prevail if learners do not protect themselves and their personal information. ICT or online risks are a cause for growing concern, and awareness and education are urgently required to ensure that school learners understand the risks and threats and how to avoid them. A number of countries have already started to focus on online safety, but South Africa is numbered among those that are falling behind. This paper investigates the current online safety situation of high school learners in South Africa. A number of short- and long-term initiatives are proposed for incorporating online safety into the school environment in an effort to improve online safety among school learners in South Africa.""",,"""E. Kritzinger""",2014,10.1109/ISSA.2014.6950502,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6950502,IEEE Conferences
"""Towards ubiquitous learning tools for computer aided classroom in developing regions""","""Education is recognized as one of the most powerful aspects for human development. Scope of education includes dispersal of knowledge, logical thinking, flourishing skills, refining habits, and sharing values. Accordingly, basic or primary education is a fundamental right for every citizen of a country. Studies provide sufficient evidence that individuals lacking primary education are incapable of making sensible choice about their own benefits in personal, social, and economic life. To ensure technology enhanced primary education for every citizen is yet a significant challenge for developing countries. A number of obstacles in the financial, technological, social, and political sector impede the way to exploit the blessings of modern technology in this sector. Keeping all these in mind, we have worked on a cost efficient tool to improve the learning experience in classrooms in developing regions. We have also designed some learning materials that can make learning exciting and enjoyable to the young learners. In this paper we focus on the existing problems in Primary Education system and the causes behind them. Later we present our cost effective equipment; application of which is believed to be effective in improving the scenario.""",,"""M. Tasnim; F. Zaman; H. S. Ferdous; S. M. Saad Galib""",2014,10.1109/ICCITechn.2014.6997384,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6997384,IEEE Conferences
"""ICT innovation in South Africa: Lessons learnt from Mxit""","""In the last decade South African innovators have produced two game changing innovations: Thawte and Mxit, the former for Internet security and the latter for mobile messaging. It is of interest to understand what it is in the local system of innovation that has enabled such innovations to emerge. Mxit is one of the first instant messaging systems to be freely available for almost all mobile phones. From a simple text service it has now evolved into a multimedia platform that offers gaming, education, community support services, and that is poised to enter the money transfer and payment market. The paper locates this development in the context of the telemetry sectoral system of innovation of South Africa, and the innovation ecology of the city of Stellenbosch that is designated as `Silicon Vineyard.' Mxit has particular importance as a means of bridging the various divides that continue to characterize post-Apartheid South Africa.""",,"""M. Kahn""",2013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6533762,IEEE Conferences
"""Eye Gesture Based Communication for People with Motor Disabilities in Developing Nations""","""Current eye tracking systems for people with motor disabilities are expensive, restricted to only four eye movements, require constant re-calibration, assume literacy in English and offer no easy method to contact people during emergencies. Even though the above systems are flawed, they are crucial for the aforementioned individuals to communicate. Despite this, our surveys show that no such systems are in use for people in developing countries and there is a heavy dependence on simple yes or no answers. To overcome these obstacles we created E-ACE (Eye-based Alternative Communication Exchange) : A smartphone based system that allows the user to utilize nine eye movements rather than the traditional four. Our surveys show that many people with motor disabilities have difficulties in performing the conventional four eye movements. To counter this, E-ACE allows each user to create a personalized system which consists of their preferred four eye movements from a set of nine (four traditional, five new). To overcome the language barrier that many people face while using the current systems, E-ACE provides easy to understand pictures for a list of relevant English words and phrases which was curated from the doctors we surveyed. E-ACE also lets the user access an SOS Board that can call, message and alert the concerned people with just two eye movements. Thus, E-ACE offers a robust, portable and low-cost solution which solves the problems faced with current systems. Our Evaluations and User studies show that E-ACE has good user experience, is easily adopted by non-English speaking individuals, and is cost-effective, making it accessible to people in a developing nation.""",,"""S. Pai; A. Bhardwaj""",2019,10.1109/IJCNN.2019.8851999,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8851999,IEEE Conferences
"""Insulator leakage current monitoring: Challenges for high voltage direct current transmission lines""","""Power transmission using HVDC transmission technology has existed for several years. As part of the design specification for such schemes, transmission line and substation insulator selection is crucial to ensure good operational performance. Leakage current may occur on insulators due to contamination, ageing of insulation materials and aggressive weather conditions, amongst others. If not mitigated, these currents can lead to line faults which occur as flashover of the insulator and the degradation of the insulator material. Monitoring leakage current on alternating current transmission lines may be accomplished using current transformer devices. However, this cannot be used in direct current transmission lines due to static magnetic fields. Toughened glass insulators are generally preferred for HVDC schemes, but composite insulators are proving to be cost-effective alternatives. However, because of its relatively new application in HVDC schemes, little has been published relating to operational data on typical leakage current magnitudes, waveforms and consequential effects thereof. ESKOM currently operates and maintains the South African sections of the Cahora Bassa HVDC scheme. At present, the utility does not have an in-situ, non-intrusive solution for monitoring the leakage currents on this scheme. This paper presents an overview of leakage current and the options available for measuring it. In-situ and non-intrusive sensors have the benefit of being used for real time monitoring as well as for live line work.""",,"""M. Roman; R. R. van Zyl; N. Parus; N. Mahatho""",2014,10.1109/ICUE.2014.6904201,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6904201,IEEE Conferences
"""Mobile Agent-Based approach for modeling the epidemics of communicable diseases""","""The increase in the use of mobile phones generates the formation of mobile social networks which can make use of various purposes including education, public health and controlling epidemics. Social networks consist of the basic building blocks called as the communities within which the social interactions are intensive, but between which they are very weak. Everyone could observe that the spread of infectious disease inside communities often has the ability to cross countries borders and spread rapidly. With the widespread of diseases causing major public health problem, we argue that human mobility patterns not only influence the spreading, but are also useful for preventing and creating awareness of the diseases. In this paper, we present new opportunities offered by the field of mobile social networks for understanding the spread of infectious diseases. For this purpose we propose two models namely MABM (Mobile Agent Based Model) and SDC (Spread Discovery Control) model to understand the spread of communicable diseases between different regions. The proposed SDC model is used to comprehend the spread of diseases by extracting the community structures and the analysis of mobility pattern of each agent (user) within the mobile network. Moreover, the understanding of spread details helps us to propose the control strategy to avoid the spread of the epidemic disease on the specific region. To realize our proposed models in a better way, we have modeled one such communicable disease usually spreading every year in West African region.""",,"""M. Saravanan; P. Karthikeyan; A. Arathi; M. Kiruthika; S. Suganya""",2013,10.1145/2492517.2492612,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6785681,IEEE Conferences
