"App analysis","Type of security issue","Security is only mentioned, not the main focus","Security is the main focus","Users study","Not MAR","Mobile App related (MAR)","Document Title","Abstract","Chosen","Authors","Publication Year","DOI","Link","Content type"
"Yes","""""Sensitive data leakage""""","No","Yes","No","No","Yes","""""Forensic Analysis of Mobile Banking Apps""""","""""Over the years, the proliferation of mobile banking applications has been on the increase. Financial institutions are taking advantage of mobile technology to provide accessible, ubiquitous, user-friendly, convenient, and cost-effective services to their customers. The mobile banking applications access and process sensitive user data. As such, they are required to manage such data in a high secure manner and run in secure environment. This study conducts a forensic investigation of twelve popular Android m-banking apps in Nigeria to determine if the generated backups by the mobile OS do not save sensitive data; the application removes sensitive data from view when backgrounded; sensitive data are not held longer than necessary in the memory, with the memory cleared after use; minimum device access security policies are enforced by the app, and users are educated by the app about the type of PII processed and security best practices in using the app. Our findings revealed that while none of the apps saved sensitive data in generated backup, all except one held data of sensitive value in the memory of the test device and did not enforce any device access security policy. Also, none of the apps removed sensitive data when backgrounded. In addition to serving as a source of information for forensic investigators, we believe our study could assist mobile banking app developers in identifying aspects of the development process that need attention, which would lead to better secured apps.""""","Yes","""""Oluwafemi Osho; Uthman L. Mohammed; Nanfa N. Nimzing; Andrew A. Uduimoh; Sanjay Misra""""","2019","10.1007/978-3-030-24308-1_49","https://link.springer.com/chapter/10.1007/978-3-030-24308-1_49","chapter"
"No","""""","No","Yes","Yes","Yes","No","""""Framework for the Provision of User Felt Protected Mobile Banking Services""""","""""The proliferation of mobile devices is a direct sector, which has become the primary means by which individuals complete the vast majority of their daily tasks. Financial institutions are bolstering their expansion plans by emphasizing mobile banking and financial services. However, there are several security issues with mobile banking due to the expanding capabilities of mobile technology. That's why banks need a system to evaluate the safety of their mobile banking services. The cyber-security barriers to mobile banking encountered by SACCOs in Kenya were identified using a survey study methodology, and the strategies used by SACCOs to mitigate the effects of these problems on the supply of mobile banking services were assessed. The research uncovered the risks associated with mobile banking in terms of cyber security. This analysis also assessed the measures taken by SACCOs to guarantee the provision of a safe mobile banking service in the eyes of their customers. The results informed the development of a framework for the provision of mobile banking services that prioritizes customers' sense of safety. After putting the suggested structure through its paces with the help of specialists, it was proven to be quite trustworthy. This paradigm gives SACCOs a way to measure how secure their services are in the eyes of their customers.""""","","""""N. Rawat; D. Bordoloi; A. Dumka""""","2022","10.1109/ICFIRTP56122.2022.10059415","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10059415","IEEE Conferences"
"No","""""","Yes","No","Yes","Yes","No","""""How Relevant Are Risk Perceptions, Effort, and Performance Expectancy in Mobile Banking Adoption?""""","""""This article provides a comprehensive overview of the adoption process using evidence from m-banking adoption in Pakistan. A survey design was used and 189 responses were received from across Pakistan and analyzed using Smart PLS application. Findings suggest that research on the effect of risk in the adoption process remains inconclusive. Contrarily, consumers have overcome many fears due to the usefulness, indispensability, high security features, and effort expended in the use of financial services delivered through m-banking. Perceived risk's PR direct influence was found to be generally weak. However, PR plays a major role in the pre-adoption process because it's weak and direct inhibiting influence become an ""enhancer"" in the association between effort expectancy EE and the three key TAM/UTAUT constructs [performance expectancy PE, attitude ATT, and adoption intention INT]. Most importantly, the role of EE as a strong driver of PE, ATT, INT, and its significant interaction with PR highlights the unique role that both risk and EE play in the adoption process.""""","","""""Shaikh AA,Glavee-Geo R,Karjaluoto H""""","2018","10.4018/IJEBR.2018040103","https://doi-org.proxy.bnl.lu/10.4018/IJEBR.2018040103","Journal Article"
"No","""""","No","No","No","Yes","No","""""LPMP: An efficient lightweight protocol for mobile payment""""","""""The unprecedented development in wireless and mobile communication has brought forward incredible opportunities for mobile commerce. However the limited processing power, memory, power consumption of mobile devices and security aspects of wireless network are some of the major challenges in expanding mobile commence especially in developing country. In the present paper, an efficient protocol for mobile payment system is proposed that is based on a shared secret between the client and its bank/financial institution. While the protocol possesses all the requisite properties namely - privacy, integrity, authentication and non-repudiation, it minimizes the processing and memory requirement at the client end that makes it especially suited for low end mobile devices.""""","","""""D. M. Tripathi; A. Ojha""""","2012","10.1109/NCETACS.2012.6203295","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6203295","IEEE Conferences"
"No","""""","No","Yes","No","Yes","No","""""Law Enforcement Access to Password Protected and/or Encrypted Mobile Data""""","""""The use of mobile phones in the commission of crime and terrorism pose serious investigative challenges to law enforcement agencies across the world. The discussion deals primarily with the extent a mobile phone service provider and/or or messaging applications provider and/or manufacturer must assist a law enforcement agency in gaining access to mobile data, specifically where the data is encrypted and/or password protected. It should be established whether a mobile phone service and/or applications provider and/or manufacturer must design security and/or privacy measures in such a way that law enforcement may gain access to the encrypted data. It may be argued that national security interests regarding the investigation of serious crimes such as kidnapping, child pornography, corruption and terrorism outweigh user privacy and user security. Terrorism affects all countries globally and in many instances result in the indiscriminate killing of a large number of people as illustrated by the Paris November 2015, the US December 2015, Abidjan, Ivory Coast, Brussels and Pakistan March 2016 killings. Although a law enforcement agency is pressurized to gather as much as possible evidence to investigate such heinous acts and prevent future attacks, the mobile phone evidence must be gathered within a legal framework that provides checks and balances to prevent the development of a police state resulting in the erosion or elimination of human rights. It is necessary to debate whether banning encryption and/or compelling a provider to have the technology to decrypt encrypted mobile communications or override password protected mobile data would serve as an investigative solution in the interest of national security or whether it would ultimately result in weakening user security and privacy to such an extent that all users around the world would be vulnerable to unlawful intrusions.""""","","""""M. Watney""""","2016","10.1109/ARES.2016.23","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7784598","IEEE Conferences"
"Yes","""""Vulnerabilities in MM ecosystem""""","No","Yes","Yes","No","Yes","""""Let's Talk Money: Evaluating the Security Challenges of Mobile Money in the Developing World""""","""""Digital money drives modern economies, and the global adoption of mobile phones has enabled a wide range of digital financial services in the developing world. Where there is money, there must be security, yet prior work on mobile money has identified discouraging vulnerabilities in the current ecosystem. We begin by arguing that the situation is not as dire as it may seem---many reported issues can be resolved by security best practices and updated mobile software. To support this argument, we diagnose the problems from two directions: (1) a large-scale analysis of existing financial service products and (2) a series of interviews with 7 developers and designers in Africa and South America. We frame this assessment within a novel, systematic threat model. In our large-scale analysis, we evaluate 197 Android apps and take a deeper look at 71 products to assess specific organizational practices. We conclude that although attack vectors are present in many apps, service providers are generally making intentional, security-conscious decisions. The developer interviews support these findings, as most participants demonstrated technical competency and experience, and all worked within established organizations with regimented code review processes and dedicated security teams.""""","Yes","""""Castle S,Pervaiz F,Weld G,Roesner F,Anderson R""""","2016","10.1145/3001913.3001919","https://doi-org.proxy.bnl.lu/10.1145/3001913.3001919","Conference Paper"
"Yes","""""Certification validation,  crypto misuse; data leakage, liability problems, etc.""""","No","Yes","No","No","Yes","""""Mo(Bile) Money, Mo(Bile) Problems: Analysis of Branchless Banking Applications in the Developing World""""","""""Mobile money, also known as branchless banking, brings much-needed financial services to the unbanked in the developing world. Leveraging ubiquitous cellular networks, these services are now being deployed as smart phone apps, providing an electronic payment infrastructure where alternatives such as credit cards generally do not exist. Although widely marketed as a more secure option to cash, these applications are often not subject to the traditional regulations applied in the financial sector, leaving doubt as to the veracity of such claims. In this paper, we evaluate these claims and perform the first in-depth measurement analysis of branchless banking applications. We first perform an automated analysis of all 46 known Android mobile money apps across the 246 known mobile money providers and demonstrate that automated analysis fails to provide reliable insights. We subsequently perform comprehensive manual teardown of the registration, login, and transaction procedures of a diverse 15% of these apps. We uncover pervasive and systemic vulnerabilities spanning botched certification validation, do-it-yourself cryptography, and myriad other forms of information leakage that allow an attacker to impersonate legitimate users, modify transactions in flight, and steal financial records. These findings confirm that the majority of these apps fail to provide the protections needed by financial services. Finally, through inspection of providers' terms of service, we also discover that liability for these problems unfairly rests on the shoulders of the customer, threatening to erode trust in branchless banking and hinder efforts for global financial inclusion.""""","","""""Reaves B,Scaife N,Bates A,Traynor P,Butler KR""""","2015","","","Conference Paper"
"Yes","""""Certification validation,  crypto misuse; data leakage, liability problems, etc.""""","No","Yes","No","No","Yes","""""Mo(Bile) Money, Mo(Bile) Problems: Analysis of Branchless Banking Applications""""","""""Mobile money, also known as branchless banking, leverages ubiquitous cellular networks to bring much-needed financial services to the unbanked in the developing world. These services are often deployed as smartphone apps, and although marketed as secure, these applications are often not regulated as strictly as traditional banks, leaving doubt about the truth of such claims. In this article, we evaluate these claims and perform the first in-depth measurement analysis of branchless banking applications. We first perform an automated analysis of all 46 known Android mobile money apps across the 246 known mobile money providers from 2015. We then perform a comprehensive manual teardown of the registration, login, and transaction procedures of a diverse 15% of these apps. We uncover pervasive vulnerabilities spanning botched certification validation, do-it-yourself cryptography, and other forms of information leakage that allow an attacker to impersonate legitimate users, modify transactions, and steal financial records. These findings show that the majority of these apps fail to provide the protections needed by financial services. In an expanded re-evaluation one year later, we find that these systems have only marginally improved their security. Additionally, we document our experiences working in this sector for future researchers and provide recommendations to improve the security of this critical ecosystem. Finally, through inspection of providers’ terms of service, we also discover that liability for these problems unfairly rests on the shoulders of the customer, threatening to erode trust in branchless banking and hinder efforts for global financial inclusion.""""","Yes","""""Reaves B,Bowers J,Scaife N,Bates A,Bhartiya A,Traynor P,Butler KR""""","2017","10.1145/3092368","https://doi-org.proxy.bnl.lu/10.1145/3092368","Journal Article"
"No","""""","No","No","No","Yes","No","""""Mobile financial system services potential to provide banking services to general population""""","""""An analysis of mobile financial system services have been presented. Based on the new trends in providing financial services to the end users, the potential benefits have been outlined with regards to analyzing the benefits that could be available to the end users in developing countries like Serbia. It is concluded that mobile financial services will gain in importance in years to come due to lower costs, greater flexibility and higher dynamics compared to standard banking services imposing new solutions in the area of transaction security. Also, it is important to create new environment by changing appropriate elements of existing Serbian legislation related to telecommunications, electronic security and banking.""""","","""""D. S. Vujić""""","2011","10.1109/TELFOR.2011.6143507","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143507","IEEE Conferences"
"No","""Fraud""","No","Yes","Yes","No","No","""""Mobile subscribers vulnerability to financial crime over the SMS platform""""","""""Numerous benefits have been realised in the use and application of short message services (SMS). Today, over one billion messages are sent each day as a result of communication amongst and between people, businesses and systems. Though few would agree that this service is increasingly being abused, fewer would accept that the abuse is extensive and has a financial loss associated with it. This research paper set out to evaluate the vulnerability of mobile subscribers within counties around Nairobi city in Kenya. It involved a sample of 300 mobile subscribers of different walks of life, education levels and occupation. These were randomly selected. The research set out to find the mode of contact used by the fraudsters, frequency of fraud attempts, knowledge of fraud attempts on other subscribers known to the respondents, who the respondents blamed when targeted and conned, as well as determining what the best approach would be to help protect them from criminals. The study concluded by identifying the various factors that have facilitated financial crime within the mobile network via the SMS platform.""""","","""""E. Kariuki; A. Gichamba; K. Muchungi""""","2017","10.23919/ISTAFRICA.2017.8102312","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8102312","IEEE Conferences"
"No","""""","Yes","No","Yes","Yes","No","""""Mobile-phone users’ attitudes towards’ mobile commerce & services in the Gulf Cooperation Council countries: Case study""""","""""As the number of mobile phone users is growing, purchasing products and services using mobile phones and other mobile devices are also increasing. The purpose of this study was to provide the status of mobile-commerce in the Gulf Cooperation Council (GCC) countries in term of consumerspsila attitudes towards mobile commerce and mobile services provided by mobile operators. Oman, one of the GCC countries is used as the case study. The theoretical background of the study was drawn from Technology Acceptance Model (TAM). This study showed that there is a promising future for m-commerce in Oman as above 66 percents of respondents said that they are willing to buy products and services using their mobile phones. Security of mobile transactions and the cost of products and services are great concerns to the mobile phone users. This study provides a list of recommendations based on the result of the survey that would be of importance to the mobile industry stakeholders in Oman, GCC, and other countries with a similar economy, market and consumer characteristics. The outcome of the study would be of a particular interest to the private and public telecommunication organizations; especially those that intend to invest in m-commerce in the GCC area and other developing countries.""""","","""""N. -N. Manochehri; Y. S. AlHinai""""","2008","10.1109/ICSSSM.2008.4598475","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4598475","IEEE Conferences"
"No","""Fraud""","No","Yes","No","No","No","""""Model For Mitigating Smishing Attacks On Mobile Platforms""""","""""Cybercrime has increased as a result of technology improvements and people's increasing reliance on smartphones and other technologies. SMS enables the dissemination of critical information, which is especially significant for non-digital savvy users who are typically the most isolated. Smishing, often known as SMS phishing, is the practice of sending phony text messages to trick someone into divulging personal information or installing malware. In Kenya, smishing crimes have been noted to escalate at a higher rate. However, there is no comprehensive investigation that has been done involving smishing attacks. There are various proposed solutions for mitigating smishing attacks. However, no existing solution authenticates the sender, filters the smishing content from the message, and informs the user of the potentially harmful content. Therefore, this study presents a novel method to authenticate the sender, filter smishing content from the message, and informs the user in case potentially harmful content exists in the message. Python, MYSQL, and Naïve Bayes classifier were used to develop the model. The model will help mobile phone users to identify fraudulent messages sent by smishers quickly and effectively.""""","","""""D. Njuguna; J. Kamau; D. Kaburu""""","2021","10.1109/ICECET52533.2021.9698789","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9698789","IEEE Conferences"
"No","""""","Yes","No","No","Yes","No","""""NFC based secure mobile healthcare system""""","""""With the recent increase in usage of mobile devices especially in developing countries, they can be used for an efficient healthcare management. In this work, we have proposed a novel architecture for improving healthcare system with the help of Android based mobile devices with NFC [1] and Bluetooth interfaces, smartcard technology on tamper resistant secure element (SE) for storing credentials and secure data, and a HealthSecure service on a hybrid cloud for security and health record management. The main contribution of this paper is proposal of applications for i) Secure Medical Tags for reducing medical errors and ii) Secure Healthcard for storing Electronic Health Record (EHR) based on Secure NFC Tags, mobile device using NFC P2P Mode or Card Emulation Mode. We have also briefly mentioned a basic security framework requirement for the applications. Since NFC NDEF format is prone to security attacks [2], we have utilized low level APIs on Android based mobile devices, to securely access NFC tags such as MIFARE Classic tags with NFC-A (ISO 1443-3A) properties. Simple touch of NFC enabled mobile devices can benefit both the patient as well as the medical doctors by providing a robust and secure health flow. It can also provide portability of devices and usability for health management in emergency situation, overpopulated hospitals and remote locations.""""","","""""D. Sethia; D. Gupta; T. Mittal; U. Arora; H. Saran""""","2014","10.1109/COMSNETS.2014.6734919","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6734919","IEEE Conferences"
"No","""Money Laundering""","No","Yes","No","Yes","No","""""No Smurfs: Revealing Fraud Chains in Mobile Money Transfers""""","""""Mobile Money Transfer (MMT) services provided by mobile network operators enable funds transfers made on mobile devices of end-users, using digital equivalent of cash (electronic money) without any bank accounts involved. MMT simplifies banking relationships and facilitates financial inclusion, and, therefore, is rapidly expanding all around the world, especially in developing countries. MMT systems are subject to the same controls as those required for financial institutions, including the detection of Money Laundering (ML) - a source of concern for MMT service providers. In this paper we focus on an often practiced ML technique known as micro-structuring of funds or smurfing and introduce a new method for detection of fraud chains in MMT systems. Whereas classical detection methods are based on machine learning and data mining, this work builds on Predictive Security Analysis at Runtime (PSA@R), a model-based approach for event-driven process analysis. We provide an extension to PSA@R which allows us to identify fraudsters in an MMT service monitoring network behavior of its end-users. We evaluate our method on simulated transaction logs, containing approximately 460,000 transactions for 10,000 end-users, and compare it with classical fraud detection approaches. With 99.81% precision and 90.18% recall, we achieve better recognition performance in comparison with the state of the art.""""","","""""M. Zhdanova; J. Repp; R. Rieke; C. Gaber; B. Hemery""""","2014","10.1109/ARES.2014.10","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980259","IEEE Conferences"
"No","""Transaction security""","No","Yes","No","Yes","No","""""Practical Receipt Authentication for Branchless Banking""""","""""Although branchless banking systems have spread to different parts of the developing world, methods to ensure transactional security in these systems have seen slower adoption because of a variety of operational constraints. A basic requirement from such systems is the provision of secure and reliable receipts to users during transactions, and recent attacks have demonstrated that existing systems fall short of fulfilling this requirement in practice. In this paper, we propose a simple and practical protocol to enable users to authenticate transaction receipts in branchless banking systems. Our protocol makes novel use of missed calls (sent from users to the bank) to help distinguish real receipts from spoofed ones and can be implemented on any mobile phone, without software installation. Besides preventing spoofing attacks, the protocol enjoys significant advantages of usability, efficiency and cost, which make it a more practical choice than other schemes. We also discuss ways to use missed calls to mitigate man-in-the-middle attacks on branchless banking systems.""""","","""""Panjwani S""""","2013","10.1145/2442882.2442886","https://doi-org.proxy.bnl.lu/10.1145/2442882.2442886","Conference Paper"
"No","""""","No","Yes","Yes","Yes","No","""""Preliminary Investigation of Mobile Banking Attacks in West Africa: Feedback from Orange Money Customers in Burkina Faso""""","""""Mobile banking is used to perform balance checks, account transactions, payments, credit applications, and other banking transactions via a mobile device. Until recently, mobile banking was most often done via SMS or the mobile web. In west African countries, these applications are preferred before all others of the same kind due to their proximity and ease of use. However, in recent years, several end-users have fallen victim of attacks aiming at misappropriating their money. In this scenario of attacks, the end-user is the most affected. Unfortunately, there is a crucial lack of information regarding the tricks used by attackers on them, users, not allowing the victims to protect themselves. In this paper, we propose a comprehensive study on Orange Money attacks in the Burkina Faso context. We analyze the different Facebook forums to identify recurring attack methods from the user’s point of view. In the end, we propose the bests practices that users should follow.""""","","""""Arthur D. Sawadogo; Zakaria Sawadogo; Steve T. M. Ataky; Khalid M. Askia; Kalmogo Roland; Issa Boussim""""","2022","10.1007/978-3-031-06374-9_2","https://link.springer.com/chapter/10.1007/978-3-031-06374-9_2","chapter"
"No","""""","Yes","No","No","Yes","No","""""PriHealth: A Fingerprint-Based Mobile Primary Healthcare Management System""""","""""Primary health institution as the main health care institution that addresses the health challenges of individuals in rural areas and those with limited financial capacity in Nigeria houses quality information. However, this information is not properly managed and is not easily available for patients and health personnel. This is because the traditional filing system is still prevalently used and in cases where databases are used, access to a computer system is still limited. With the popularity of mobile devices, an avenue for easy and quick access to medical records presents itself. However, this also gives rise to record security issues. Taking advantage of the fingerprint scanner on most of these devices, this paper presents the development of a mobile primary health care system - PriHealth. The system uses fingerprint authentication to secure access to the back-end of the system which is the database that holds medical records. The accuracy of the approach showed an encouraging result of 97%.""""","","""""Jide Kehinde Adeniyi; Tunde Taiwo Adeniyi; Roseline Oluwaseun Ogundokun; Sanjay Misra; Akshat Agrawal; Ravin Ahuja""""","2022","10.1007/978-3-031-10766-5_34","https://link.springer.com/chapter/10.1007/978-3-031-10766-5_34","chapter"
"No","""Security and privacy""","Yes","No","No","Yes","No","""""Privacy and security problems of national health data warehouse: a convenient solution for developing countries""""","""""Healthcare providers and researchers can discover the hidden knowledge from different health repositories if integration of data is performed by data warehousing. Integration of health records requires linkage of patients' data in different heterogeneous sources. Preserving record linkage in National Health Data Warehouse, by retaining identifiable attributes, is essential for effective data mining as well. In contrast identifiable health data have high risk to patient privacy and make the health information systems security vulnerable to hackers. In this paper, we have provided a practical solution: Global Patient Identification Technique (GPIT) that can anonymize identifiable private data of the patients while maintaining record linkage in integrated health repositories to facilitate knowledge discovery process. We have used encrypted mobile number, gender and NAMEVALUE of patients to produce Global Patient Identification Key. This system is being implemented in Bangladesh to develop National Health Data Warehouse. Our approach is also suitable for the developing countries where poverty and illiteracy rates are high among mass people.""""","","""""S. I. Khan; A. S. Latiful Hoque""""","2016","10.1109/NSysS.2016.7400708","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7400708","IEEE Conferences"
"No","""""","No","Yes","No","Yes","No","""""Secure and Efficient Mobile Personal Health Data Sharing in Resource Constrained Environments""""","""""Although personal health record (PHR) systems are widely used in the developed world, little has been done to explore the utility of these PHR systems in the developing world. One of the key reasons behind this is the fact that a lot of areas in the developing world suffer from technological impediments that are a result of poor infrastructure, low literacy, intermittent power connectivity, and unstable bandwidth connectivity. In technological resource constrained environments such as these, deploying standard PHR systems is challenging and so it makes sense to redesign these systems to cope with the environmental limitations in order to offer users a usable and reliable platform. Furthermore, healthcare data is inherently privacy and security sensitive so, in re-designing the PHR system the security and privacy requirements need also be taken into consideration. The idea in this case, is to opt for security mechanisms that offer the same levels of security as is the case in the standard PHR systems that are used in the developed world, but that are also lightweight in terms of performance and storage overhead. In this paper, based on the observation that mobile phone use is widely proliferated in developing countries, we propose an access control framework supported by identity-based encryption for a secure Mobile-PHR system. Results from our prototype evaluation (laboratory and field studies) indicate that the proposed IBE scheme effectively secures PHRs beyond the healthcare provider's security domain and is efficient performance-wise.""""","","""""R. Ssembatya; A. V. D. M. Kayem""""","2015","10.1109/WAINA.2015.113","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7096210","IEEE Conferences"
"No","""""","No","Yes","No","Yes","No","""""Security in Next Generation Mobile Payment Systems: A Comprehensive Survey""""","""""Cash payment is still king in several markets, accounting for more than 90% of the payments in almost all the developing countries. The usage of mobile phones is pretty ordinary in this present era. Mobile phones have become an inseparable friend for many users, serving much more than just communication tools. Every subsequent person is heavily relying on them due to multifaceted usage and affordability. Every person wants to manage his/her daily transactions and related issues by using his/her mobile phone. With the rise and advancements of mobile-specific security, threats are evolving as well. In this paper, we provide a survey of various security models for mobile phones. We explore multiple proposed models of the mobile payment system (MPS), their technologies and comparisons, payment methods, different security mechanisms involved in MPS, and provide analysis of the encryption technologies, authentication methods, and firewall in MPS. We also identify current challenges and future directions of mobile phone security.""""","","""""W. Ahmed; A. Rasool; A. R. Javed; N. Kumar; T. R. Gadekallu; Z. Jalil; N. Kryvinska""""","2021","10.1109/ACCESS.2021.3105450","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9514868","IEEE Journals"
"No","""""","No","No","No","Yes","No","""""Supporting Blockchain-Based Cryptocurrency Mobile Payment With Smart Devices""""","""""The smart device owning rate such as smart phone and smart watch is higher than ever before and mobile payment has become one of the major payment methods in many different areas. At the same time, blockchain-based cryptocurrency is becoming a nonnegligible type of currency and the total value of all types of cryptocurrency has reached USD 200 billion. Therefore, it is a natural demand to support cryptocurrency payment on mobile devices. Considering the poor infrastructure and low penetration of financial service in developing countries, this combination is especially attractive. The high storage cost and payment processing latency are the two main obstacles for mobile payment using cryptocurrency. We propose two different schemes for cryptocurrency mobile payment, one involves a centralized bank and the other one does not require any centralized party. We also provide a solution for the bank to meet KYC (know your customer)/AML (antimoney laundering) compliance requirements when it is involved in cryptocurrency mobile payment processing.""""","","""""L. Xu; L. Chen; Z. Gao; L. Carranco; X. Fan; N. Shah; N. Diallo; W. Shi""""","2020","10.1109/MCE.2019.2953734","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8977822","IEEE Magazines"
"No","""""","No","Yes","Yes","Yes","No","""""The Adoption of Security Control Apps among Smartphone Users in Tanzania""""","""""Threats to mobile devices and smartphones, in particular, are on the rise, suggesting that data and information residing in the mobile device such as smartphones are in danger of being attacked. The current study employs an extended TBP as a theoretical framework to investigate the adoption of security control apps (i.e. antivirus) to safeguard against the attacks. A theoretical framework was tested using structural equation modelling (SEM) with data collected from 233 respondents. The study found that social influence, attitude and security awareness have an influence on the intention to adopt antivirus software while perceived behavioral control and individual risk propensity have no influence. Further security awareness has an influence on the attitude of smartphone users towards using antivirus software.""""","","""""Koloseni D,Sedoyeka EM""""","2019","10.4018/IJTD.2019100101","https://doi-org.proxy.bnl.lu/10.4018/IJTD.2019100101","Journal Article"
"No","""User’s credentials leakage""","No","Yes","No","Yes","No","""""ThinSIM-Based Attacks on Mobile Money Systems""""","""""Phone-based mobile money is becoming the dominant paradigm for financial services in the developing world. For example, mPesa has a cash flow of over thirty billion USD, equivalent to nearly half of Kenya's GDP. Inside of these markets, competitors have appeared who leverage ThinSIMS, small SIM-card add-ons, to provide alternative mobile money implementations. However, the security implications of ThinSIMs are not well understood.To resolve this, we explore the security of phone-based mobile money systems against attacks via the SIM interface, the 3GPP-defined interface between a SIM card and a phone. Using a ThinSIM to intercept and initiate communication over the SIM interface, we demonstrate that a malicious ThinSIM can steal a user's mPesa credentials and initiate transactions without the user's consent or knowledge. We also demonstrate a similar ThinSIM-based attack against USSD-based mobile money systems that allows for similar transactions without the user's knowledge or participation. Lastly, we propose and implement modifications to both STK and USSD-based mobile money systems to limit the impact of our discovered ThinSIM-based attacks.""""","","""""Phipps R,Mare S,Ney P,Webster J,Heimerl K""""","2018","10.1145/3209811.3209817","https://doi-org.proxy.bnl.lu/10.1145/3209811.3209817","Conference Paper"
"No","""""Confidentiality, Integrity, etc.""""","No","No","No","Yes","No","""""Towards Blockchain Services For Mobile Money Traceability And Federation""""","""""This paper discusses a new approach to mobile money, a money transfer solution via mobile phone, which uses accounts associated with SIM (Subscriber Identity Module) identifiers, and which are managed by the Mobile Network Operators (MNOs). The first solution launched in Kenya in 2007, M-PESA is one of the world major mobile money services. Mobile money becomes the new monopoly of MMOs in an economic system where the rate of unbanked adults is very high. Currently in 2019 Orange Money makes nearly 1.5 million transactions per day, which corresponds to a monetary value of nearly 15 billion CFA francs per day. The USSD is the technology at the heart of the Mobile-money transactions. Blockchain, which is the underlying technology of the first crypto currency Bitcoin, has drawn a lot of global attention in recent years. Blockchain does not stop seeing its field of action widen. The field of action of the Blockchain has not yet completed its enlargement. The rate of unbanked is still very high in developing countries; this rate is a factor that does not favor the emergence of the economy. It is necessary to count on the mobile money to skip this obstacle (according to the World Bank) we make here the state of the art on the mobile money and its underlying technologies in the sub-Saharan countries and in Burkina-Faso. We propose a mobile-money solution based on the Blockchain, in order to increase security, trust, and move towards a federation of mobile-money platforms.""""","","""""K. E. AGBEZOUTSI; P. URIENe; T. M. DANDJINOU""""","2019","10.1109/CSNet47905.2019.9108970","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9108970","IEEE Conferences"
"No","""""","Yes","No","Yes","Yes","No","""""Towards Cash-Less Economy: Examining Factors Influencing Intention to Use NFC-Based Mobile Payments""""","""""Recently, there has been speedy development of mobile technologies and an increase in diffusion of smartphones among young people. This has provided opportunities for innovative companies to create new payment solutions to their young customers. Although there has been a lot of coverage on consumer acceptance of mobile payments, only limited studies in Tanzania provide guidelines for NFC technology acceptance. This study aimed at examining factors influencing the acceptance of NFC technology in Tanzania using young customers (students). Current research modifies UTAUT framework based on existing literature to achieve the stated purpose. The snowball sampling technique was used to select 405 students from the IFM. SEM was employed in the analysis of collected data. The findings reveal that both security and trust are significant and positively affect adoption of NFC technology in Tanzania. Surprisingly, the results also indicated that the combination of social influence and security explains 84% of the trust. The implication, limitations, and future studies were also discussed.""""","","""""Lashayo DM,Mhina JR""""","2022","10.4018/IJMDWTFE.311432","https://doi-org.proxy.bnl.lu/10.4018/IJMDWTFE.311432","Journal Article"
"No","""""","No","No","Yes","No","Yes","""""Towards a theoretical understanding of workarounds emerging from use of a referral mobile application: a developing country context""""","""""Health Information Systems (HIS) in public health institutions are currently not used as intended; health care providers (HCPs) are increasingly resorting to workarounds or informal systems known as “Shadow Information Technologies” to accomplish their work. This multiple case study in three public hospitals in South Africa and Namibia describes factors driving the enactment of workarounds to the Vula mobile referral application. An interpretive paradigm was taken and semi-structured interviews conducted with 29 HCPs were analysed using a thematic analysis approach. Substantial evidence is found indicating misfits between work and use of referral applications in public hospitals. A conceptual framework is developed to explain workaround practices based on emerging concepts. The study finds that there is misfit between work and use e-referral applications in public hospitals. As a result, HCPs are enacting workarounds in a form of 1) Shadow IT (Information technology), 2) Augmenting existing systems by using alternative computer-based, telephonic and paper-based referrals 3) Fitting by adapting the e-referral application to accommodate misfits with work activities. These practices suggest a design-reality gap in failing to accommodate these issues in the e-referral application design. Additionally, these practices have brought severe security risks to clinical information used on shadow systems, compromising the privacy and confidentiality of patient information. Public health institutions therefore need to develop more effective measures, policies, and strategies to address unresolved constraints in the referral system.""""","","""""Meke I. Kapepo and Jean-Paul {Van Belle} and Edda Weimann""""","2022","https://doi.org/10.1016/j.procs.2021.12.046","https://www.sciencedirect.com/science/article/pii/S1877050921022699","article"
