"Document Title","Abstract","Chosen","Authors","Author Affiliations","Publication Year","Page","DOI","Link","Content type"
"Artificial Neural Network Modeling and Cluster Analysis for Organic Facies and Burial History Estimation Using Well Log Data: A Case Study of the South Pars Gas Field, Persian Gulf, Iran","Intelligent and statistical techniques were used to extract the hidden organic facies from well log responses in the Giant South Pars Gas Field, Persian Gulf, Iran. Kazhdomi Formation of Mid-Cretaceous and Kangan-Dalan Formations of Permo-Triassic Data were used for this purpose. Initially GR, SGR, CGR, THOR, POTA, NPHI and DT logs were applied to model the relationship between wireline logs and Total Organic Carbon (TOC) content using Artificial Neural Networks (ANN). The correlation coefficient (R^2) between the measured and ANN predicted TOC equals to 89%. The performance of the model is measured by the Mean Squared Error function, which does not exceed 0.0073. Using Cluster Analysis technique and creating a binary hierarchical cluster tree the constructed TOC column of each formation was clustered into 5 organic facies according to their geochemical similarity. Later a second model with the accuracy of 84% was created by ANN to determine the specified clusters (facies) directly from well logs for quick cluster recognition in other wells of the studied field. Each created facies was correlated to its appropriate burial history curve. Hence each and every facies of a formation could be scrutinized separately and directly from its well logs, demonstrating the time and depth of oil or gas generation. Therefore potential production zone of Kazhdomi probable source rock and Kangan- Dalan reservoir formation could be identified while well logging operations (especially in LWD cases) were in progress. This could reduce uncertainty and save plenty of time and cost for oil industries and aid in the successful implementation of exploration and exploitation plans.","","Alizadeh B,Najjari S,Kadkhodaie-Ilkhchi A","","2012","261–269","10.1016/j.cageo.2011.11.024","https://doi-org.proxy.bnl.lu/10.1016/j.cageo.2011.11.024;http://dx.doi.org/10.1016/j.cageo.2011.11.024","Journal Article"
"Assessing Gender Bias in Machine Translation: A Case Study with Google Translate","Recently there has been a growing concern in academia, industrial research laboratories and the mainstream commercial media about the phenomenon dubbed as machine bias, where trained statistical models—unbeknownst to their creators—grow to reflect controversial societal asymmetries, such as gender or racial bias. A significant number of Artificial Intelligence tools have recently been suggested to be harmfully biased toward some minority, with reports of racist criminal behavior predictors, Apple’s Iphone X failing to differentiate between two distinct Asian people and the now infamous case of Google photos’ mistakenly classifying black people as gorillas. Although a systematic study of such biases can be difficult, we believe that automated translation tools can be exploited through gender neutral languages to yield a window into the phenomenon of gender bias in AI. In this paper, we start with a comprehensive list of job positions from the U.S. Bureau of Labor Statistics (BLS) and used it in order to build sentences in constructions like “He/She is an Engineer” (where “Engineer” is replaced by the job position of interest) in 12 different gender neutral languages such as Hungarian, Chinese, Yoruba, and several others. We translate these sentences into English using the Google Translate API, and collect statistics about the frequency of female, male and gender neutral pronouns in the translated output. We then show that Google Translate exhibits a strong tendency toward male defaults, in particular for fields typically associated to unbalanced gender distribution or stereotypes such as STEM (Science, Technology, Engineering and Mathematics) jobs. We ran these statistics against BLS’ data for the frequency of female participation in each job position, in which we show that Google Translate fails to reproduce a real-world distribution of female workers. In summary, we provide experimental evidence that even if one does not expect in principle a 50:50 pronominal gender distribution, Google Translate yields male defaults much more frequently than what would be expected from demographic data alone. We believe that our study can shed further light on the phenomenon of machine bias and are hopeful that it will ignite a debate about the need to augment current statistical translation tools with debiasing techniques—which can already be found in the scientific literature.","","Prates MO,Avelar PH,Lamb LC","","2020","6363–6381","10.1007/s00521-019-04144-6","https://doi-org.proxy.bnl.lu/10.1007/s00521-019-04144-6;http://dx.doi.org/10.1007/s00521-019-04144-6","Journal Article"
"Automatic Control Method of DDoS Defense Policy through the Monitoring of System Resource","In these day, we obtain various information through internet services and the distributed denial-of-service (DDoS) attacks for threatening the services are socially and economically serious threats. Recently, the attacks that occurred in July 2009 significantly damaged to the major internet services of countries such as South Korea. Due to the seriousness of DDoS attacks, these have been researched in a variety of ways in academies and industries to protect the internet services. However, the existing defense methods have the fundamental limitation that can be vulnerable to the unknown DDoS attacks of new traffic pattern to avoid the methods because the methods apply the defense policies of fixed thresholds that are mainly determined by the learning of traffic volume. Thus, whenever the new DDoS attacks are occurred, the damage is also repeated by the attacks. To overcome the problem caused by the fixed threshold, the paper introduces the automatic control method of defense policy against the DDoS attacks through the monitoring of current system resources. We focused on the fact that the usage ratios of various system resources show the abnormal statuses of server if the service failure of server is occurred by that attacks that were not blocked by current defense policies. Our method measures the usage changes of system resources and detects the abnormal situations and automatically adjusts current defense policies in conjunction with the strength of change. As a result, the DDoS attacks are gradually mitigated by the automatic threshold controlling of our method.","","Kim D,Kim B,Kim I,Oh J,Jang J,Cho H","","2011","140–145","","","Conference Paper"
"Automatic Crosslingual Thesaurus Generated from the Hong Kong SAR Police Department Web Corpus for Crime Analysis: Research Articles","For the sake of national security, very large volumes of data and information are generated and gathered daily. Much of this data and information is written in different languages, stored in different locations, and may be seemingly unconnected. Crosslingual semantic interoperability is a major challenge to generate an overview of this disparate data and information so that it can be analyzed, shared, searched, and summarized. The recent terrorist attacks and the tragic events of September 11, 2001 have prompted increased attention on national security and criminal analysis. Many Asian countries and cities, such as Japan, Taiwan, and Singapore, have been advised that they may become the next targets of terrorist attacks. Semantic interoperability has been a focus in digital library research. Traditional information retrieval (IR) approaches normally require a document to share some common keywords with the query. Generating the associations for the related terms between the two term spaces of users and documents is an important issue. The problem can be viewed as the creation of a thesaurus. Apart from this, terrorists and criminals may communicate through letters, e-mails, and faxes in languages other than English. The translation ambiguity significantly exacerbates the retrieval problem. The problem is expanded to crosslingual semantic interoperability. In this paper, we focus on the English/Chinese crosslingual semantic interoperability problem. However, the developed techniques are not limited to English and Chinese languages but can be applied to many other languages. English and Chinese are popular languages in the Asian region. Much information about national security or crime is communicated in these languages. An efficient automatically generated thesaurus between these languages is important to crosslingual information retrieval between English and Chinese languages. To facilitate crosslingual information retrieval, a corpus-based approach uses the term co-occurrence statistics in parallel or comparable corpora to construct a statistical translation model to cross the language boundary. In this paper, the text-based approach to align English/Chinese Hong Kong Police press release documents from the Web is first presented. We also introduce an algorithmic approach to generate a robust knowledge base based on statistical correlation analysis of the semantics (knowledge) embedded in the bilingual press release corpus. The research output consisted of a thesaurus-like, semantic network knowledge base, which can aid in semantics-based crosslingual information management and retrieval. © 2005 Wiley Periodicals, Inc.","","Li KW,Yang CC","","2005","272–282","","","Journal Article"
"Automatic Voltage Controllers for South Korean Power System","The paper proposes two automatic voltage controllers for the South Korean power system. Simulation results from detailed Korean power-flow models show that the controllers can provide significant improvements in security, quality and efficiency of power system voltage monitoring and control. Operating within a time scale ranging from tens of seconds to a few minutes, the controllers can act upon voltage alarms and voltage insecure conditions to maintain prescribed voltage profile and adequate VAR margins. The control actions include continuous adjustment of generator VAR outputs as well as switching of discrete VAR support devices such as shunt capacitor banks. This paper extends an earlier discrete version of the controller developed at Washington State University and tested at Bonneville Power Administration into a hybrid voltage controller. This paper tests the implementation and application of the previously developed discrete as well as the proposed hybrid controllers in Korean power system models.","","","","2009","1–9","10.1109/HICSS.2009.85","https://doi-org.proxy.bnl.lu/10.1109/HICSS.2009.85;http://dx.doi.org/10.1109/HICSS.2009.85","Conference Paper"
"Beyond Mere Compliance of RFID Regulations by the Farming Community: A Case Study of the Cochrane Dairy Farm","Radio-frequency identification (RFID) is changing the face of livestock identification and management. Beyond satisfying the regulations of government agencies for livestock to be a part of a national identification system for tracking purposes, farmers are now considering venturing beyond mere basic compliance systems. Once installed, farmers have begun to realize that their initial capital investment into an RFID system holds great strategic potential. The initial outlay while substantial is a once only cost that with a few more application-centric uses can yield a return on investment manifold. This paper presents a case study of the Cochrane Dairy Farm situated on the New South Wales South Coast. The case study shows that the Cochrane Dairy farm utilizes advanced total farm management techniques that will before too long lead to greater dividends. The contribution of this paper is in presenting how a dairy farm has adopted RFID initially to meet government directives, and then for broader more personalized requirements. Farming processes are defined explicitly and the paper points to encourage other farmers to consider adoption of RFID beyond the need for compliance and toward the perspective of longer term productivity and strategic visibility.","","Trevarthen A,Michael K","","2007","8","10.1109/ICMB.2007.21","https://doi-org.proxy.bnl.lu/10.1109/ICMB.2007.21;http://dx.doi.org/10.1109/ICMB.2007.21","Conference Paper"
"Bilateral Disputes Over Broadband Standards, Interoperability, and WTO Rules: The Need For A Safe Harbor","The development of standards to facilitate the deployment of next generation telecommunications services, particularly for wireless applications, has generated trade policy conflict between the United States and Korea.Specific examples include Korea's development of an interoperable wireless Internet platform for use by mobile operators, as well as a standard for high-speed portable Internet (also known as WiBro in Korea).Do the WTO Agreement on Technical Barriers to Trade (TBT) and the General Agreement on Trade in Services (GATS) constrain member governments from promoting the adoption of air interface protocols and other standards for wireless Internet applications and fourth generation transmission technologies?The answer is yes, but not necessarily to the degree or extent that US companies with an interest in the propagation of proprietary standards have asserted in their various requests for intervention by the US. Trade Representative (USTR) on behalf of their commercial interests.In fact, the GATS and TBT Agreement preserve the sovereign authority of member governments to promote interoperability, consumer welfare, national technological progress, and other public policy goals through the standard-setting process, so long as certain baseline nondiscrimination obligations are respected.Now that Korea and other East Asian economies have achieved leadership positions in the deployment of wireless broadband technology, US industry is no longer in a position to establish de facto standards on the basis of US market trends alone.Concerns in Korea and other non-US. markets (and also among ""open source"" advocates in the United States) about the anti-competitive implications of proprietary standards will therefore have greater weight in shaping future telecommunications standards than in prior years.Rather than seek to interpret the WTO agreements as an impediment to the incorporation of public policy objectives in the standard setting process, the US Trade Representative should work with regulators in Korea and other jurisdictions to develop a consensus on the legitimacy of government involvement in standards development.In particular, an understanding should be reached on the basis of a negative list; i.e., a list of government aims or objectives that are not legitimately the object of a standards-setting effort, such as the preclusion of foreign competition or propagation of a domestic monopoly.All other public policy objectives would be presumed consistent with the WTO agreements (and thus receive ""safe harbor"" protection under WTO rules);Interoperability would fall within the ""safe harbor"" but not if used to deny market access to an entire class of technology rather than a non-interoperable platform within one particular technology class.By presuming a legitimate role for government except with respect to the negative list of impermissible objectives, an international understanding could help to avert future trade disputes. Such an understanding might also encourage the private sector to focus greater effort on interoperability and less on the pursuit of proprietary standards intended to secure monopoly rents.","","Kleinfeld G","","2004","181–187","","","Journal Article"
"Bluetooth in the M-Enterprise: True Blue Believers?","Bluetooth mobile technology has the potential totransform the way in which people live and work andis predicted to become a key driver in addingconvenience for both mobile payment and security inan m-commerce environment.The technology ismature and, in Europe, Asia and the United States, itis being implemented in innovative ways that show itis both workable and practical.The paper provides asynopsis of Bluetooth Technology and reports onsuccessful implementations in enterprises in theeducation, automobile, finance and leisure industries.In Australia although preliminary research hasrevealed a high awareness of Bluetooth, availabilityof such devices is extremely problematic.The core ofthis preliminary study is to examine Bluetoothimplementations in Europe, the USA and Asia and toreport on the disconnect between awareness andavailability that exists in Australia which is oftenthought of as a technically savvy nation.","","Lawrence E,Culjak G,Injam S","","2003","281","","","Conference Paper"
"Building a Location-Based Set of Social Media Users","In events such as natural disasters, terrorist attacks, or war zones, one can gain critical situational awareness by monitoring what people on the ground are saying in social media. But how does one build a set of users in a specific location from scratch? In “Building a Location-Based Set of Social Media Users,” Christopher Marks and Tauhid Zaman present an algorithm to do just this. The algorithm starts with a small set of seed users in the location and then grows this set using an “expand–classify” approach. They apply the algorithm to diverse regions ranging from South America to the Philippines and in a few hours can collect tens of thousands of Twitter users in the target locations. The algorithm is language agnostic, making it especially useful for anyone trying to gain situational awareness in foreign countries.In many instances, one may want to gain situational awareness in an environment by monitoring the content of local social media users. Often the challenge is how to build a set of users from a target location. Here, we introduce a method for building such a set of users by using an expand–classify approach, which begins with a small set of seed users from the target location and then iteratively collects their neighbors and classifies their locations. We perform this classification using maximum likelihood estimation on a factor graph model that incorporates features of the user profiles and social network connections. We show that maximum likelihood estimation reduces to solving a minimum cut problem on an appropriately defined graph. We are able to obtain several thousand users within a few hours for many diverse locations using our approach. Using geolocated data, we find that our approach typically achieves good accuracy for population centers with fewer than 500,000 inhabitants but is less effective for larger cities. We also find that our approach is able to collect many more users with higher accuracy than existing search methods. Finally, we show that, by studying the content of location-specific users obtained with our approach, we can identify the onset of significant social unrest in locations such as the Philippines.Funding: This work was supported in part by Charles Stark Draper Laboratory, Inc. (Draper).Supplemental Material: The online appendix is available at .","","Marks CE,Zaman T","","2022","3090–3107","10.1287/opre.2022.2357","https://doi-org.proxy.bnl.lu/10.1287/opre.2022.2357;http://dx.doi.org/10.1287/opre.2022.2357","Journal Article"
"Bypassing the Integrity Checking of Rights Objects in OMA DRM: A Case Study with the MelOn Music Service","Commercial digital music is typically distributed in the music source market via Digital Rights Management systems (DRM). DRM systems help remotely control the music contents. The Open Mobile Alliance (OMA) DRM became the de facto standard after major market adoption because of its support for a wide variety of different business and usage models. In OMA DRM, a popular business model is a (monthly) subscription enforced by controlling the period of playback time; once the given period of time expires, the music cannot be played. In this paper, we demonstrate how to bypass the integrity checking of the rights object in the OMA DRM system through a case study of MelOn (a well-known music distribution service in South Korea) by reverse engineering its media player equipped with a DRM agent.","","Choi J,Aiken W,Ryoo J,Kim H","","2016","","10.1145/2857546.2857609","https://doi-org.proxy.bnl.lu/10.1145/2857546.2857609;http://dx.doi.org/10.1145/2857546.2857609","Conference Paper"
"CDN Interconnection Service Trial: Implementation and Analysis","Content delivery service has become a major traffic load on today's Internet, and this has triggered the interest of ISPs in operating their own content delivery networks (CDNs) to optimize Internet traffic considering both content delivery caching and user-network proximity. ISPs, however, are typically regionally bound or network-domain-wise isolated; hence, their CDN gain is somewhat limited. In order to enhance the gain of ISP CDN services to the level of incumbent global CDNs, a CDN interconnection (CDNI) model is introduced by IETF, where local ISP CDN services can be extended among heterogeneous CDNs across network domains. However, despite the multiple benefits of a CDNI system, it is difficult to apply a CDNI service to the current CDN market due to the platform independence. Hence, we introduced a CDNI gateway model that is standard-capable and platform-independent. With the CDNI gateway model, we design and implement a complete CDNI system and conduct a CDNI service trial with three major ISPs in South Korea. To the best of our knowledge, this is the first CDNI service trial complying with the IETF standard achieved by a multi-ISP collaboration. According to the analysis of experimental results from the service trial, we observe that CDNI can reduce content traffic by about 40 percent at the Internet exchange link compared to a legacy CDN system.","","Bang Y,Rhee JK,Park K,Lim K,Nam G,Shinn JD,Lee J,Jo S,Koo JR,Sung J,Seo YI,Choi T,Kim HI,Park J,Yun CH","","2016","94–100","10.1109/MCOM.2016.7498094","https://doi-org.proxy.bnl.lu/10.1109/MCOM.2016.7498094;http://dx.doi.org/10.1109/MCOM.2016.7498094","Journal Article"
"CII Protection - Lessons for Developing Countries: South Africa as a Case Study","We explore the process followed in formulating the South African CII (Critical Information Infrastructure) identification criteria and its application. We report on a three pronged approach that defines National Security, severity of CII security incidents and roles and responsibilities for CII protection. Our Criteria assumes the existence of basic ICT security roles within a country as per application of the South African criteria and its suitability for a country with limited resources. We conclude by recommending a CII protection approach that is best suited for developing countries based on our experiences.","","Ndlangisa M,Herbst D","","2009","165–175","","","Conference Paper"
"Challenges in Secure Sensor-Cloud Computing","Cloud computing is a concept that has received significant attention lately. With advances in virtualization, coupled with the demand for services, many initiatives are underway in the environment of cloud computing. At this point, most of the services in cloud Computing are broadly in the paradigm of computing and storage, and in the traditional Client Server mode. With the recent explosion of wireless sensor networks and their applicability in civilian and military applications, there is an emerging vision for integrating sensor networks into the cloud. Practical systems like Microsoft's SensorMap and Asia Pacific Environmental Sensor Grid are attestations to the enormous potential for sensor networks to be integrated into the cloud. In this framework users need not own sensor networks. Sensor Network owners after a mission need not disband the networks. There is a symbiotic relationship wherein sensor network owners can provide a variety of services to customers for profit. Customers also benefit from a variety of remote services without being physically close to the environment of interest. However, despite the benefits of sensor-clouds, security issues are largely open. A variety of new threats and attacks are possible, and existing solutions in standalone sensor networks will not be applicable in the cloud. The vision of this article is to introduce the sensor-cloud computing and overview the research challenges from the security perspective.","","Poolsappasit N,Kumar V,Madria S,Chellappan S","","2011","70–84","","","Conference Paper"
"Characterization, Analysis, and Visualization of Traffic in the Asian Internet Interconnection Initiatives (AI3) Satellite-Based Research Network Test Bed","Since it started in 1995, the Asian Internet Interconnection Initiatives (AI3) project has grown into a large satellite-based research network in the Asia Pacific. All partner institutions are connected via the C-band or Ku-band channelof the JCSAT satellite.This paper will evaluate the performance of the AI3testbed in terms of bandwidth consumption, traffic flows,and measurement with the introduction of Open NetworkMeasurements Data Exchange (OpenMDE), a new conceptin network measurement systems. OpenMDE will providea basis for future implementation, and could be applied tospecific approaches of certain AI3's network operation issues.Furthermore, this paper will show the evaluation of eachpartner's utilization of the AI3 connection with an analysisof whether the traffic is associated with research or is part ofthe commercial Internet. Also, it will provide measurementdata that will determine weak points of the network, servingas basis for possible upgrades.","","Vinas ED,Quiblat CP,Camus CM,Mendoza RC,Villorente DF,Baba T","","2003","41","","","Conference Paper"
"Characterizing Security and Privacy Practices in Emerging Digital Credit Applications","Access to credit can provide capital crucial to both businesses and individuals. Unfortunately, for large parts of the developing world, access to credit is not available because customers often lack the traditional data used by lenders to make such decisions (e.g., verifiable payroll statements, property ownership documents). Emerging online credit services address this need through the use of non-traditional creditworthiness data, which many believe to include user geolocation and social network information. While such systems both potentially expand credit availability and improve usability through instant evaluation, their security and privacy practices remain opaque. In this paper, we perform the first comprehensive security analysis of the emerging online credit space. To provide improved transparency, we select 51 representative companies across the industry, analyze their privacy policies and compare them to the sensitive data types mobile applications actually gather. We then evaluate the configuration of connections between mobile apps and their supporting servers to determine whether they securely handle such data. Our analysis demonstrates significant security and privacy issues across this burgeoning industry, including the gathering of previously undisclosed data types and widespread mis-configuration of encryption. We conclude by discussing our efforts to work with partners in and around the industry to improve these issues.","Yes","Bowers J,Sherman IN,Butler KR,Traynor P","","2019","94–107","10.1145/3317549.3319723","https://doi-org.proxy.bnl.lu/10.1145/3317549.3319723;http://dx.doi.org/10.1145/3317549.3319723","Conference Paper"
"ChildGAN: Face Aging and Rejuvenation to Find Missing Children","","","Chandaliya PK,Nain N","","2022","","10.1016/j.patcog.2022.108761","https://doi-org.proxy.bnl.lu/10.1016/j.patcog.2022.108761;http://dx.doi.org/10.1016/j.patcog.2022.108761","Journal Article"
"Cloud Computing in Developing Economies","The developing world must exploit the opportunities afforded by cloud computing while minimizing the associated risks to allow access to advanced IT infrastructure, data centers, and applications and protect sensitive information.","","Kshetri N","","2010","47–55","10.1109/MC.2010.212","https://doi-org.proxy.bnl.lu/10.1109/MC.2010.212;http://dx.doi.org/10.1109/MC.2010.212","Journal Article"
"Collaboration Tool for Distributed Open Source Verification","Samsung R&D Institute Brazil (SRBR) is one of Samsung's research centers around the world. SRBR work is focused on research on software development areas. SRBR software development teams have worked in collaboration with Samsung headquarters (HQ), located at South Korea, and Brazilian outsourcing companies (SIDI Institute and other Brazilian partners). Considering the massive volume of software developed by SRBR and partners teams, there naturally has been an enormous use and contribution of open source software. The usage of open source software (OSS) by Samsung and its research centers follows a process to ensure that all use is compliant with OSS licenses. This experience report describes OSKB (Open Source Knowledge Base) tool, a distributed collaboration Web application fully integrated with a tracking issue system, currently used by SRBR teams involved with software development for avoiding duplicated work and improving knowledge sharing among SRBR internal and partners teams. The main reasons behind OSKB development were automating the first step of OSS licenses verification activity reducing duplicated work, serving as a knowledge base of OSS analysis, reducing the time spent in back office operations related with OSS usage and mitigating OSS usage compliance risks.","","Filho RN,de Souza Pereira M,Faria CS,Lemos GS","","2019","129–132","10.1109/ICGSE.2019.00034","https://doi-org.proxy.bnl.lu/10.1109/ICGSE.2019.00034;http://dx.doi.org/10.1109/ICGSE.2019.00034","Conference Paper"
"Communication as Information-Seeking: The Case for Mobile Social Software for Developing Regions","In this paper, we describe several findings from a multi-year, multi-method study of how information and communication technologies have been adopted and adapted in Central Asia. We have found that mobile phone usage is outpacing the rate of Internet adoption, that access to the Internet is primarily through public access sites carrying with it issues regarding privacy and surveillance, that people rely on their social networks as information sources, that public institutions tend to be fairly weak as citizen resources, and that information seeking and communication are conflated in people's usage patterns with different technologies. In addition, in the developed world social networking software has grown rapidly and shown itself to have significant potential for mobilizing a population. Based on the collection of findings from Central Asia and observing patterns of technology usage in other parts of the world, our research leads to the conclusion that exploring mobile social software holds significant potential as an ICT that meshes well with preexisting patterns of communication and information seeking and also leverages the most predominant pattern of technology adoption. Many of the findings from this research echo results from studies in other geographic areas, and so we anticipate that much of this research will be relevant to developing regions generally.","","Kolko BE,Rose EJ,Johnson EJ","","2007","863–872","10.1145/1242572.1242689","https://doi-org.proxy.bnl.lu/10.1145/1242572.1242689;http://dx.doi.org/10.1145/1242572.1242689","Conference Paper"
"Compatible 2D-Code Having Tamper Detection System with QR-Code","The matrix barcodes known as Quick Response (QR) codes, which are enable us to import printed digital information into smart-phone or cell phone through its digital camera easily, are rapidly becoming widespread not only Japan but also Asia, Europe and America. However, an attacker is easily able to lead malicious web-sites by putting a unauthenticated QR code on a authenticated QR code. We propose a compatible 2d-code having tamper detection system with QR-code. In digital signature system, a hash value of a message is calculated firstly, and then the hash value is encrypted by a secret key which is a pair of public key cryptography system. Then, a sender sends the message and the encrypted hash value to a receiver. In the receiver side, the hash value of a sent message is calculated and the hash value with encrypted is decrypted using a public key which is a pair of public key cryptography system. The receiver can detect modification of the message by comparing the two hash values. The encrypted hash value is embedded by using Wet Paper code within cells of QR-codes. In this paper, we report the robustness of reading cells of QR code which plays an important role in our code and the state of the progress for the implementation of the proposed system.","","Ishihara T,Niimi M","","2014","493–496","10.1109/IIH-MSP.2014.129","https://doi-org.proxy.bnl.lu/10.1109/IIH-MSP.2014.129;http://dx.doi.org/10.1109/IIH-MSP.2014.129","Conference Paper"
"Computer-Aided Optimization of DNA Array Design and Manufacturing","DNA probe arrays, or DNA chips, have emerged as a core genomic technology that enables cost-effective gene expression monitoring, mutation detection, single nucleotide polymorphism analysis, and other genomic analyses. DNA chips are manufactured through a highly scalable process called very large-scale immobilized polymer synthesis (VLSIPS) that combines photolithographic technologies adapted from the semiconductor industry with combinatorial chemistry. Commercially available DNA chips contain more than half a million probes and are expected to exceed 100 million probes in the next generation. This paper is one of the first attempts to apply very large scale integration (VLSI) computer-aided design methods to the physical design of DNA chips, where the main objective is to minimize total border cost (i.e., the number of nucleotide mismatches between adjacent sites). By exploiting analogies between manufacturing processes for DNA arrays and for VLSI chips, the authors demonstrate the potential for transfer of methodologies from the 40-year-old field of electronic design automation to the newer DNA array design field. The main contributions of this paper are the following. First, it proposes several partitioning-based algorithms for DNA probe placement that improve solution quality by over 4% compared to best previously known methods. Second, it gives a new design flow for DNA arrays, which enhances current methodologies by adding flow awareness to each optimization step and introducing feedback loops. Third, it proposes solution methods for new formulations integrating multiple design steps, including probe selection, placement, and embedding. Finally, it introduces new techniques to experimentally evaluate the scalability and suboptimality of existing and newly proposed probe placement algorithms. Interestingly, the authors find that DNA placement algorithms appear to have better suboptimality properties than those recently reported for VLSI placement algorithms [C.- C. Chang et al., Optimality and scalability study of existing placement algorithms, Proc. Asia South-Pacific Design Automation Conf., Kitakyushu, Japan, p.621-7, Jan. 2003; J. Cong et al., Optimality, scalability and stability study of partitioning and placement algorithms, Proc. Int. Symp. Physical Design (ISPD), Monterey, CA, p.88-94, 2003]","","Kahng AB,Mandoiu II,Reda S,Xu X,Zelikovsky AZ","","2006","305–320","10.1109/TCAD.2005.855940","https://doi-org.proxy.bnl.lu/10.1109/TCAD.2005.855940;http://dx.doi.org/10.1109/TCAD.2005.855940","Journal Article"
"Computing Security in the Developing World: A Case for Multidisciplinary Research","Technology users in the developing world face a varied and complex set of computer security concerns. These challenges are deeply tied to a range of contextual factors including poor infrastructure, non-traditional usage patterns, and different attitudes towards security, which make simply importing security solutions from industrialized nations inadequate. Recognizing this, we describe some of the specific security risks in developing regions and their relationships with technical, political, social, and economic factors. We present concrete examples of how these factors affect the security of individuals, groups, and key applications such as mobile banking. Our analysis highlights the urgency of the concerns that need attention and presents an important intellectual challenge for the research community.","","Ben-David Y,Hasan S,Pal J,Vallentin M,Panjwani S,Gutheim P,Chen J,Brewer EA","","2011","39–44","10.1145/1999927.1999939","https://doi-org.proxy.bnl.lu/10.1145/1999927.1999939;http://dx.doi.org/10.1145/1999927.1999939","Conference Paper"
"Conceptualizing a Model for Adoption of Cloud Computing in Education","We developed a model for cloud computing adopting in education.Triangulation of two popular adoption theories used as theoretical basis.We contextualized the adoption process for developing countries.Socio-cultural factors were found to be crucial for sub-Saharan Africa.Results demonstrability not supported as critical factor for adoption model. Cloud computing is a pervasive computing paradigm that has revolutionized how computer infrastructure and services are delivered. Current research trends on cloud computing have been focused on the technology, applications, costs, benefits, and security of cloud computing at the organizational level within small and medium sized enterprises. Little research attention has been paid on adoption and usage of cloud computing at educational establishments and how contextual factors can influence diffusion and adoption of cloud computing. Universities in developing countries are faced with challenging socio-economic and political constraints that limit their ability to invest in expensive information systems to compete on the global stage. Using constructs from the diffusion of innovation theory and the technology acceptance model, this paper proposes a model that takes account of contextual, economic, and technological influences in the perception and adoption of cloud computing at universities in sub-Saharan Africa. Results from a pilot study, based on the model, through a survey of university lecturers and IS experts shows reliability and validity of the instrument and supports its usage for a more extensive study. Implications, potential contributions to research, and suggestions for future study are discussed.","","Sabi HM,Uzoka FM,Langmia K,Njeh FN","","2016","183–191","10.1016/j.ijinfomgt.2015.11.010","https://doi-org.proxy.bnl.lu/10.1016/j.ijinfomgt.2015.11.010;http://dx.doi.org/10.1016/j.ijinfomgt.2015.11.010","Journal Article"
"Consumer Protection in the Telecommunication Sector: A Comparative Institutional Analysis of Five African Countries","","","Mwakatumbula HJ,Moshi GC,Mitomo H","","2019","","10.1016/j.telpol.2019.02.002","https://doi-org.proxy.bnl.lu/10.1016/j.telpol.2019.02.002;http://dx.doi.org/10.1016/j.telpol.2019.02.002","Journal Article"
"Contextualizing Learning in the World Wide Web: Accounting for the Impact of Culture","There is a developing urgency about how Australian universities should best make use of the World Wide Web (WWW) to meet the needs of culturally diverse students, especially those of Asian origin. This urgency is the result of both global and internal pressures, some political, (consider the imminence of the ‘Hanson movement‘ against a multicultural Australia), some economic, some social. Moreover, to miss the current opportunity to exploit WWW technologies to design, implement and market effective instructional courses will only work to disadvantage Australia in a growing but globally competitive educational market. One of the most pressing problems in this context is how to provide instructional materials in a model of teaching and learning that is cost-effective, makes extensive use of WWW technologies to provide for flexibility in learning, and that is culturally appropriate. This paper outlines an approach and model for investigating and developing culturally appropriate instructional materials. It is hoped that through publication, we might obtain feedback on the validity of this model and also widen the potential of its scope beyond its immediate application to the Australian context. The following hypotheses are central to our work: (1) Existing cultural influences in instructional materials designed and delivered on the WWW by Australian universities, and intended for use by culturally diverse students, are minimal and ineffective. (2) The efficacy of learning based in the use of the WWW for instructional purposes can be improved by the adoption of a culturally appropriate model of instructional design. (3) Culture is a significant factor in determining the effectiveness of learning materials created in the WWW and intended for use by culturally diverse students. In testing these hypotheses, we intend to provide the empirical research to help determine the most appropriate ways of using the WWW to stimulate effective learning at tertiary level for all learners, whatever their cultural heritage or perspectives","","Wild M,Henderson L","","1998","179–192","10.1023/A:1018661213335","https://doi-org.proxy.bnl.lu/10.1023/A:1018661213335;http://dx.doi.org/10.1023/A:1018661213335","Journal Article"
