"Document Title","Abstract","Chosen","Authors","Author Affiliations","Publication Year","Page","DOI","Link","Content type"
"European Union's Green Smart Directive or How Resource-Conscious Smart Systems Saved the World","In the 2020s, the devastating effects of anthropogenic climate change became unmistakable. Floods, storms, the mass extinction of flora and fauna, the threats of further pandemics, as well as Russia's war with Ukraine made it necessary for Europeans to act immediately. While the public was still wrangling about the best way to become more resource-conscious, in 2026 the European Union passed a directive that bound “smart”, artificial-intelligence-infused technologies to the goal of reducing resource consumption by law – the Green Smart directive. The present paper traces the impact of Green Smart in three everyday domains: laundry, mobility, and gardening. It shows that Green Smart led to a “decentering” of the human with beneficial effects on the planet as well as individual wellbeing. Upon release of the directive, smart systems immediately installed policies of CO2 avoidance and resource-saving, which had been discussed for centuries already, but had never actually been implemented. While this was accompanied by fierce debates about “freedom” and the “enslavement” of humanity by technology, in everyday life, the policies led to an almost instant reduction in resource consumption. New and adapted everyday practices appeared quickly, and many of them changed people's lives clearly for the better. In general, humanity's attitude toward technology changed profoundly. Instead of expecting technology to be a mere tool, always under the immediate control of people and to be used for whatever people saw fit, technology became understood as a powerful “other”, with its own needs and goals – even if those were designed by humans themselves. Instead of using technology, people started to cooperate and negotiate with technology about better ways of living.","","Hassenzahl M,Dörrenbächer J,Laschke M,Sadeghian S","","2022","","10.1145/3546155.3547277","https://doi-org.proxy.bnl.lu/10.1145/3546155.3547277;http://dx.doi.org/10.1145/3546155.3547277","Conference Paper"
"Evaluating Digital Economy in the Covid-19 Pandemic Era: A Review","The development of the digital economy in Indonesia is increasing, including Micro, Small, and Medium Enterprises (MSMEs). The digital platform is a solution for MSMEs under threat due to the impact of the Covid-19 pandemic. Indonesia's government collaboration with private sectors has initiated some efforts to recover the national economy. These efforts included developing digital platforms such as e-commerce platforms, digital wallets, and various applications that support the distribution of goods and services that business actors have widely used. The digital platforms that MSMEs have widely used need to be further evaluated for their impact on business processes and economic recovery. This paper performed a bibliometric analysis and delivered a narrative review on developing a digital platform that can be used by MSMEs. The narrative reviews reveal some findings: 1) the digital platforms can used by MSME players, and 2) the method's effectiveness in evaluating the social impact of implementing digital platforms. Furthermore, we pointed the highlight of the digital platform for MSMEs development in Indonesia. In comparison, we also exemplified the situation in Nigeria as a benchmark. As a result, this study proposes a method that can be adopted to evaluate the social impact of implementing digital platforms by MSME players. In the next stage, we consider evaluating the social impact of digital platforms implementation by MSME players.","","Kushadiani SK,Nugroho B,Mardian S,Muhammad-Bello B,Hermawan A","","2021","80–85","10.1145/3479645.3479653","https://doi-org.proxy.bnl.lu/10.1145/3479645.3479653;http://dx.doi.org/10.1145/3479645.3479653","Conference Paper"
"Evaluation and Comparison of Satellite-Based Rainfall Products in Burkina Faso, West Africa","The performance of seven operational high-resolution satellite-based rainfall products – Africa Rainfall Estimate Climatology ARC 2.0, Climate Hazards Group InfraRed Precipitation with Stations CHIRPS, Precipitation Estimation from Remotely Sensed Information using Artificial Neural Networks PERSIANN, African Rainfall Estimation RFE 2.0, Tropical Applications of Meteorology using SATellite TAMSAT, African Rainfall Climatology and Time-series TARCAT, and Tropical Rainfall Measuring Mission TRMM daily and monthly estimates – was investigated for Burkina Faso. These were compared to ground data for 2001–2014 on a point-to-pixel basis at daily to annual time steps. Continuous statistics was used to assess their performance in estimating and reproducing rainfall amounts, and categorical statistics to evaluate rain detection capabilities. The north–south gradient of rainfall was captured by all products, which generally detected heavy rainfall events, but showed low correlation for rainfall amounts. At daily scale they performed poorly. As the time step increased, the performance improved. All except TARCAT provided excellent scores for Bias and Nash–Sutcliffe Efficiency coefficients, and overestimated rainfall amounts at the annual scale. RFE performed the best, whereas TARCAT was the weakest. Choice of product depends on the specific application: ARC, RFE, and TARCAT for drought monitoring, and PERSIANN, CHIRPS, and TRMM daily for flood monitoring in Burkina Faso.","","Dembélé M,Zwart SJ","","2016","3995–4014","10.1080/01431161.2016.1207258","https://doi-org.proxy.bnl.lu/10.1080/01431161.2016.1207258;http://dx.doi.org/10.1080/01431161.2016.1207258","Journal Article"
"Evaluation of User Experience and Cognitive Load of a Gamified Cognitive Training Application for Children with Learning Disabilities","This study presents a gamified application for children with learning disabilities, designed to train and improve working memory. The application takes the form of a treasure hunt, and is designed according to a framework incorporating guidelines derived from accessibility, usability and cognitive load theory, and from gamification techniques. The aim is to exploit working memory capacity, motivate and engage the child in working memory training activities. The main focus of this study is the evaluation of the user experience and the cognitive load level of this gamified application. A sample of 12 Egyptian children with learning disabilities completed a five-week training period using the application, followed by an evaluation process. The evaluation took the form of a simple usability survey, an unstructured observation, and a cognitive load measurement scale. The purpose was to evaluate the children's perceived experience and assess the level of cognitive load experienced in each of the activities. The results revealed that all the children enjoyed playing the gamified application, were eager to participate in the daily training, and the cognitive load experienced during the training was found to be generally appropriate - although some areas for improvement were identified. Finally, the experiments identified a correlation between user experience, cognitive load and training performance.","","Shaban A,Pearson E","","2020","","10.1145/3371300.3383341","https://doi-org.proxy.bnl.lu/10.1145/3371300.3383341;http://dx.doi.org/10.1145/3371300.3383341","Conference Paper"
"Examining the Influence of Mobile Store Features on User E-Satisfaction: Extending UTAUT2 with Personalization, Responsiveness, and Perceived Security and Privacy","Despite the rapid growth in mobile stores (e.g., Apple Store, Google Play), scholarly research in this area is still in the early stages. In particular, there is a need for more empirical analysis of how the main features of these new systems shape the customer experience. This study aims to empirically identify and validate the key factors shaping users’ satisfaction toward mobile stores. The conceptual model was proposed based on a group of the main factors from the extended Unified Theory of Acceptance and Use of Technology (UTAUT2), mobile interactivity, and perceived security and privacy. The empirical analysis was conducted in Jordan by collecting data from a convenience sample of users of mobile stores. Structural equation modelling was applied to test the current study’s model. The results support the significant impact of performance expectancy, price value, hedonic motivation, personalization, responsiveness, and perceived security and privacy on user satisfaction. Discussion of the main limitations and future research directions are also provided.","","Alalwan AA,Baabdullah AM,Rana NP,Dwivedi YK,Kizgin H","","2019","50–61","10.1007/978-3-030-29374-1_5","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-29374-1_5;http://dx.doi.org/10.1007/978-3-030-29374-1_5","Conference Paper"
"Experiences in Implementing an Experimental Wide-Area GMPLS Network","In this article, we describe our experiences in implementing an experimental wide-area GMPLS network called CHEETAH (circuit-switched end-to-end transport architecture). The key concept is to add a complementary end-to-end circuit based service with dynamic call-by-call bandwidth sharing to the connectionless service already available to end hosts via the Internet. The current CHEETAH experimental network consists of off-the-shelf GMPLS-capable SONET switches (with Ethernet interfaces) deployed at three locations, Research Triangle Park, North Carolina, Atlanta, Georgia, and Oak Ridge, Tennessee. We describe our solutions to various problems relating to control-plane design, IP addressing and control-plane security. We designed and implemented a CHEETAH software package to run on Linux end hosts connected to the CHEETAH network. Among other functions, this software package includes an RSVP-TE module to enable end users and applications to dynamically initiate requests for dedicated end-to-end circuits and receive/respond to requests for circuits. We present measurements for typical end-to-end circuit setup delays across this network. For example, end-to-end circuit setup delay from a Linux end host in NC to a host in Atlanta is 166 ms","","Zhu X,Zheng X,Veeraraghavan M","","2007","82–92","10.1109/TWC.2007.026906","https://doi-org.proxy.bnl.lu/10.1109/TWC.2007.026906;http://dx.doi.org/10.1109/TWC.2007.026906","Journal Article"
"Experimental Application of Machine Learning on Financial Inclusion Data for Governance in Eswatini","An objectives of good governance is to increase capital base of small scale businesses (SSB) in order to encourage more investments and hence increase employment rate. Embracing good financial inclusion (FI) schemes in a country helps to ensure that entrepreneurs of SSB have access to financial services and hence meet their needs. In this paper we studied FI scheme in Kingdom of Eswatini with the view to establish the extent to which SSB have access to funds in running their businesses such that they could satisfy the target population and meet their desired goals. We got FI dataset for Eswatini for 2018 from Finscope database. Finscope 2018 dataset contains 1385 attributes with 2928 records. This study extracted attributes based on payment channel, registered/unregistered business, usage of commercial banks/insurance/mobile money and source of income for households from the Finscope database. We identified lot of missing data and hence replaced them using Mode method of preprocessing module in WEKA. We split the datasets and carried out cross validation on it. Training data is 80% of the datasets and 20% was used for testing. We carefully classified FI for selected parameters for Hhohho, Manzini, Shiselweni and Lubombo regions of Eswatini using Logistic regression with 80% for training and 10 fold cross-validation. The best 10 fold cross-validation recall rate for Manzini region using support vector machine (SVM) is 69.4% and 63.4% using logistic regression. These results show that veracity of FI dataset is weak and this is due to large number of missing data.","","Akinnuwesi BA,Fashoto SG,Metfula AS,Akinnuwesi AN","","2020","414–425","10.1007/978-3-030-45002-1_36","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-45002-1_36;http://dx.doi.org/10.1007/978-3-030-45002-1_36","Conference Paper"
"Exploiting Activation Sparsity for Fast CNN Inference on Mobile GPUs","Over the past several years, the need for on-device deep learning has been rapidly increasing, and efficient CNN inference on mobile platforms has been actively researched. Sparsity exploitation has been one of the most active research themes, but the studies mostly focus on weight sparsity by weight pruning. Activation sparsity, on the contrary, requires compression at runtime for every input tensor. Hence, the research on activation sparsity mainly targets NPUs that can efficiently process this with their own hardware logic. In this paper, we observe that it is difficult to accelerate CNN inference on mobile GPUs with natural activation sparsity and that the widely used CSR-based sparse convolution is not sufficiently effective due to the compression overhead. We propose several novel sparsification methods that can boost activation sparsity without harming accuracy. In particular, we selectively sparsify some layers with an extremely high sparsity and adopt sparse convolution or dense convolution depending on the layers. Further, we present an efficient sparse convolution method without compression and demonstrate that it can be faster than the CSR implementation. With ResNet-50, we achieved 1.88 speedup compared to TFLite on a Mali-G76 GPU.","","Oh C,So J,Kim S,Yi Y","","2021","","10.1145/3477008","https://doi-org.proxy.bnl.lu/10.1145/3477008;http://dx.doi.org/10.1145/3477008","Journal Article"
"Exploiting Mobile Phone Data for Multi-Category Land Use Classification in Africa","In the context of Smart Africa Initiative, we present a method to infer multiple land use in Africa. Such information is usually scarce in developing countries due to the constrained resources. Timely land use information is a critical input to smart urban planning that improves efficiency for the public to access to resources. The mobile phone usage is almost universal, which creates a valuable data source for land use inference. In this paper, we demonstrate that the temporal mobile phone call pattern and call network features can be combined to infer ten-category land use including residential, commercial-industrial/office, commercial-business/retail/leisure, high- and low- density commercial, high- and low- density residential, mixed land use areas as well as commercial and residential hubs of the city. In low income countries where land use surveys are rare, our approach create an alternative for measuring land use.","","Mao H,Thakur G,Bhaduri B","","2016","","10.1145/3007540.3007549","https://doi-org.proxy.bnl.lu/10.1145/3007540.3007549;http://dx.doi.org/10.1145/3007540.3007549","Conference Paper"
"Exploring Entrepreneurial Activities in Marginalized Widows: A Case from Rural Sri Lanka","In some developing countries, widows are looked down upon and are often considered inauspicious especially in rural regions. Some societies even consider them and their issues invisible. This paper presents findings from a qualitative study focused on understanding how technology could facilitate entrepreneurial and DIY activities of widows from rural Sri Lanka. We conducted semi-structured interviews and field observations with thirteen widows from low socio-economic backgrounds, who were involved in various small-scale entrepreneurial activities. Our findings showed three central aspects associated with their entrepreneurial activities which can be supported through technology: initial stages of entrepreneurship, balancing work with life, and dealing with exploitations. This paper explores how gender inequality in a social context affects marginalized women in rural Sri Lanka in conducting their entrepreneurial efforts. In particular, we highlight resilient practices that the participants apply to support their entrepreneurial activities. With an ""assets-based approach"" we conclude by providing implications for policymakers, media, and HCI practitioners to support this inbuilt resilience by leveraging their current assets.","","Rathnayake UA,Halloluwa T,Bandara P,Narasinghe M,Vyas D","","2021","","10.1145/3449216","https://doi-org.proxy.bnl.lu/10.1145/3449216;http://dx.doi.org/10.1145/3449216","Journal Article"
"Exploring and Analysing the African Web Ecosystem","It is well known that internet infrastructure deployment is progressing at a rapid pace in the African continent. A flurry of recent research has quantified this, highlighting the expansion of its underlying connectivity network. However, improving the infrastructure is not useful without appropriately provisioned services to exploit it. This article measures the availability and utilisation of web infrastructure in Africa. Whereas others have explored web infrastructure in developed regions, we shed light on practices in developing regions. To achieve this, we apply a comprehensive measurement methodology to collect data from a variety of sources. We first focus on Google to reveal that its content infrastructure in Africa is, indeed, expanding. That said, we find that much of its web content is still served from the US and Europe, despite being the most popular website in many African countries. We repeat the same analysis across a number of other regionally popular websites to find that even top African websites prefer to host their content abroad. To explore the reasons for this, we evaluate some of the major bottlenecks facing content delivery networks (CDNs) in Africa. Amongst other factors, we find a lack of peering between the networks hosting our probes, preventing the sharing of CDN servers, as well as poorly configured DNS resolvers. Finally, our mapping of middleboxes in the region reveals that there is a greater presence of transparent proxies in Africa than in Europe or the US. We conclude the work with a number of suggestions for alleviating the issues observed.","","Fanou R,Tyson G,Fernandes EL,Francois P,Valera F,Sathiaseelan A","","2018","","10.1145/3213897","https://doi-org.proxy.bnl.lu/10.1145/3213897;http://dx.doi.org/10.1145/3213897","Journal Article"
"Facing the Archaeological Looting in Peru by Using Very High Resolution Satellite Imagery and Local Spatial Autocorrelation Statistics","In many countries of Southern America, Asia and Middle East clandestine excavations affect more than other man-made and natural risks archaeological heritage. Direct and aerial surveillance are not always suitable for protection and monitoring sites of cultural interest. This favoured the use of Very high resolution satellite data for the detection of looting pits.This paper is focused on results we obtained from ongoing research focused on the use of VHR satellite images and spatial autocorrelation statistics, such as Moran's I, Geary's C, and Getis-Ord Local Gi index, for the identification and monitoring of looting.A time series of satellite images (QuickBird-2 and World-View-1) has been exploited to analyze and monitor archaeological looting in Cahuachi, a large Ceremonial Centre built by the Nasca Civilization in Southern Peru. The spatial autocorrelation statistics enabled us to extract spatial anomalies linked to illegal excavations and to recognize and quantitatively characterize looting patterns over the years.The results obtained encourage the application of satellite by means of cluster analysis techniques for the monitoring of archaeological sites.","","Lasaponara R,Masini N","","2010","254–261","10.1007/978-3-642-12156-2_19","https://doi-org.proxy.bnl.lu/10.1007/978-3-642-12156-2_19;http://dx.doi.org/10.1007/978-3-642-12156-2_19","Conference Paper"
"Factors Affecting Internet Banking Adoption among Internal and External Customers: A Case of Pakistan","This study investigates the determinants which attract the customers to adopt internet banking in Pakistan by employing internal and external customers, on the sample size of 210 for internal and 151 for external respondents through using the survey research instrument questionnaire. The confirmatory factor analysis with multiple regressions technique has been applied. The result of regression analysis shows that perceived usefulness PU, information of internet banking INF, perceived risk PR, security and privacy SP shows more influence to increase the intention of external customers to adopt internet banking services while government support GS provide more influence for the internal customers in adoption of internet banking services. This study proves that external customers can be more emphasised, if they believe in convenience in adopting the services. It is recommended that banks should take some consideration to apply internet banking by delivering the information in an easiest way, provide more usefulness and benefits and also minimise the fraud as providing more security and privacy. This will help the bank to increase their profit by reducing its cost, time saving and retain more potential users.","","Raza SA,Hanif N","","2013","82–96","10.1504/IJEF.2013.051746","https://doi-org.proxy.bnl.lu/10.1504/IJEF.2013.051746;http://dx.doi.org/10.1504/IJEF.2013.051746","Journal Article"
"Filter List Generation for Underserved Regions","Filter lists play a large and growing role in protecting and assisting web users. The vast majority of popular filter lists are crowd-sourced, where a large number of people manually label resources related to undesirable web resources (e.g. ads, trackers, paywall libraries), so that they can be blocked by browsers and extensions. Because only a small percentage of web users participate in the generation of filter lists, a crowd-sourcing strategy works well for blocking either uncommon resources that appear on “popular” websites, or resources that appear on a large number of “unpopular” websites. A crowd-sourcing strategy will perform poorly for parts of the web with small “crowds”, such as regions of the web serving languages with (relatively) few speakers. This work addresses this problem through the combination of two novel techniques: (i) deep browser instrumentation that allows for the accurate generation of request chains, in a way that is robust in situations that confuse existing measurement techniques, and (ii) an ad classifier that uniquely combines perceptual and page-context features to remain accurate across multiple languages. We apply our unique two-step filter list generation pipeline to three regions of the web that currently have poorly maintained filter lists: Sri Lanka, Hungary, and Albania. We generate new filter lists that complement existing filter lists. Our complementary lists block an additional 3,349 of ad and ad-related resources (1,771 unique) when applied to 6,475 pages targeting these three regions. We hope that this work can be part of an increased effort at ensuring that the security, privacy, and performance benefits of web resource blocking can be shared with all users, and not only those in dominant linguistic or economic regions.","","Sjösten A,Snyder P,Pastor A,Papadopoulos P,Livshits B","","2020","1682–1692","10.1145/3366423.3380239","https://doi-org.proxy.bnl.lu/10.1145/3366423.3380239;http://dx.doi.org/10.1145/3366423.3380239","Conference Paper"
"Fire Emergency Evacuation Simulation Based on Integrated Fire-Evacuation Model with Discrete Design Method","Emergency evacuation under fire condition in a mass transit station is a great concern especially in developing countries. The interaction between fire and human is very important in the analysis of emergency evacuation under fire condition. An integrated fire-human model, FDS+Evac, is widely used to solve numerically the simultaneous fire and evacuation processes. However, when the simulation runs increase, the simulation time and cost will increase dramatically. The use of discrete design method (DDM) to reduce the simulation time and cost in fire emergency evacuation simulations is proposed. The method is applied to an underground subway station to study the influence of different factors on fire emergency evacuation. The grid resolution is analyzed to determine an appropriate grid size that will optimize the solution accuracy and time. Different fire locations, heat release rates, occupant loadings, ventilation conditions and material properties are considered under fire condition in the underground subway station. It shows that the heat release rate has a weak influence on fire emergency evacuation, but the fire location, occupant loading, ventilation condition and material property have a great influence on fire emergency evacuation. Furthermore, the five parameters have a coupled function on fire emergency evacuation.","","Yang P,Li C,Chen D","","2013","101–111","10.1016/j.advengsoft.2013.06.007","https://doi-org.proxy.bnl.lu/10.1016/j.advengsoft.2013.06.007;http://dx.doi.org/10.1016/j.advengsoft.2013.06.007","Journal Article"
"FlashPatch: Spreading Software Updates over Flash Drives in Under-Connected Regions","Computers in developing regions often lack the Internet connectivity and network bandwidth necessary to consistently download and apply software updates and security patches. However, even unconnected computers contract viruses and malware through the sharing of USB flash drives and other removable media. This paper introduces FlashPatch, a system for distributing software updates to computers in such areas by having software updates ""piggy-back"" on the existing flow of flash drives in rural regions. FlashPatch requires no changes in user behavior once the software has been installed. We implemented a proof-of-concept FlashPatch prototype and evaluated it in a field trial in Ghana. We present data on the prevalence and spread of viruses at our study site and offer experimental evidence of FlashPatch's effectiveness from a nine-month field trial. We found that FlashPatch provided additional antivirus protection to 30% of the machines in our study without imposing any tangible burdens on the system owners.","","Corrigan-Gibbs H,Chen J","","2014","1–10","10.1145/2674377.2674384","https://doi-org.proxy.bnl.lu/10.1145/2674377.2674384;http://dx.doi.org/10.1145/2674377.2674384","Conference Paper"
"Flipping 419 Cybercrime Scams: Targeting the Weak and the Vulnerable","Most of cyberscam-related studies focus on threats perpetrated against the Western society, with a particular attention to the USA and Europe. Regrettably, no research has been done on scams targeting African countries, especially Nigeria, where the notorious and (in)famous 419 advanced-fee scam, targeted towards other countries, originated. How- ever, as we know, cybercrime is a global problem affecting all parties. In this study, we investigate a form of advance fee fraud scam unique to Nigeria and targeted at Nigerians, but unknown to the Western world. For the study, we rely substantially on almost two years worth of data harvested from an on-line discussion forum used by criminals. We complement this dataset with recent data from three other active forums to consolidate and generalize the research. We apply machine learning to the data to understand the criminals' modus operandi. We show that the criminals exploit the socio-political and economic problems prevalent in the country to craft various fraud schemes to defraud vulnerable groups such as secondary school students and unemployed graduates. The result of our research can help potential victims and policy makers to develop measures to counter the activities of these criminal groups.","","Mba G,Onaolapo J,Stringhini G,Cavallaro L","","2017","1301–1310","10.1145/3041021.3053892","https://doi-org.proxy.bnl.lu/10.1145/3041021.3053892;http://dx.doi.org/10.1145/3041021.3053892","Conference Paper"
"Flowtag: A Collaborative Attack-Analysis, Reporting, and Sharing Tool for Security Researchers","Current tools for forensic analysis require many hours to understand novel attacks, causing reports to be terse and untimely. We apply visual filtering and tagging of flows in a novel way to address the current limitations of post-attack analysis, reporting, and sharing. We discuss the benefits of visual filtering and tagging of network flows and introduce FlowTag as our prototype tool for Honeynet researchers. We argue that online collaborative analysis benefits security researchers by organizing attacks, collaborating on analysis, forming attack databases for trend analysis, and in promoting new security research areas. Lastly, we show three attacks on the Georgia Tech Honeynet and describe the analysis process using FlowTag.","","Lee CP,Copeland JA","","2006","103–108","10.1145/1179576.1179597","https://doi-org.proxy.bnl.lu/10.1145/1179576.1179597;http://dx.doi.org/10.1145/1179576.1179597","Conference Paper"
